time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
13,1,189.6,0.4,76,1817.6315580000003,1024,,,,,,,,,,,,,,
27,2,212.0,0.3333333333333333,74,1859.9518726666668,2048,10,0.28763512164799265,5.0684521378783264e-05,19416.26466064453,0.0019048401,0.0009648799896240234,0.0,1.0005135536193848,-0.0037201544299023228,-7.096139779686927,17848.048828125,,,
41,3,204.42857142857142,0.35714285714285715,74,1773.319738857143,3072,20,0.28763512164799265,5.0684521378783264e-05,16356.261749267578,0.003345164,0.008044302463531494,0.000390625,1.0003548860549927,-0.006158660908113234,-7.097011902928353,18189.376953125,,,
53,4,214.55555555555554,0.2777777777777778,76,1784.3662068333333,4096,30,0.28763512164799265,5.0684521378783264e-05,16530.47037963867,0.00081843016,-0.0007107257843017578,0.0,0.9999009370803833,-0.0019196082663256674,-7.095432752370835,14668.390625,,,
66,5,182.10714285714286,0.39285714285714285,77,1554.4159114642857,5120,40,0.28763512164799265,5.0684521378783264e-05,9493.801083374023,0.00055470015,0.006874740123748779,0.0,0.9996506571769714,-0.0011520823929458857,-7.093679091334343,10087.6884765625,,,
79,6,179.42424242424244,0.3939393939393939,76,1526.145108060606,6144,50,0.28763512164799265,5.0684521378783264e-05,16211.192205810547,0.0013448242,-0.010890960693359375,0.0,0.999908447265625,-0.003166010032873601,-7.093428206443787,17243.734375,,,
92,7,188.07894736842104,0.3684210526315789,77,1551.9390003947367,7168,60,0.28763512164799265,5.0684521378783264e-05,13359.740130615235,0.0015031723,0.011037111282348633,0.0,0.999405026435852,-0.0029599547531688588,-7.093061500787735,11459.8681640625,,,
104,8,193.97619047619048,0.3333333333333333,78,1599.9367322380951,8192,70,0.28763512164799265,5.0684521378783264e-05,11691.998107910156,0.0014029634,-0.0056656599044799805,0.0,0.9999749064445496,-0.003267981295357458,-7.093015262484551,9971.0908203125,,,
118,9,198.84782608695653,0.30434782608695654,77,1593.2683567826089,9216,80,0.28763512164799265,5.0684521378783264e-05,14646.475439453125,0.0006056904,-0.0002027750015258789,0.0,0.9994804263114929,-0.00169306807074463,-7.0933427035808565,13698.6640625,,,
132,10,198.98039215686273,0.29411764705882354,77,1570.4685680588236,10240,90,0.28763512164799265,5.0684521378783264e-05,7784.698236083985,0.0008053976,0.015102505683898926,0.0,0.9985240697860718,-0.002037042350275442,-7.089933049678803,8293.1845703125,,,
146,11,202.6909090909091,0.2727272727272727,76,1575.5112520363639,11264,100,0.28763512164799265,5.0684521378783264e-05,10122.408395385743,0.001298947,-0.00966489315032959,0.0,0.9986978769302368,-0.003324135401635431,-7.087697494029999,11137.9248046875,,,
159,12,205.89830508474577,0.2542372881355932,76,1582.7682538135593,12288,110,0.28763512164799265,5.0684521378783264e-05,7765.012240600586,0.0034622913,0.000622093677520752,0.0001953125,0.9976563453674316,-0.00555946035310626,-7.085738652944565,6795.6904296875,,,
172,13,208.6984126984127,0.23809523809523808,76,1574.5546954285714,13312,120,0.28763512164799265,5.0684521378783264e-05,11244.835275268555,0.002518836,0.00028699636459350586,0.00029296875,0.9977487325668335,-0.00497482901555486,-7.083001378178596,12371.0615234375,,,
186,14,205.7536231884058,0.2463768115942029,77,1534.7991889130433,14336,130,0.28763512164799265,5.0684521378783264e-05,6324.053540039063,0.0024568355,0.00497668981552124,0.0,0.9977638125419617,-0.0048499556549359115,-7.083483317494393,6382.12060546875,,,
198,15,205.97297297297297,0.24324324324324326,77,1543.8078060135135,15360,140,0.28763512164799265,5.0684521378783264e-05,10843.764462280273,0.0006958113,0.0027894973754882812,0.0,0.9979788064956665,-0.002398022508714348,-7.084060570597648,11081.138671875,,,
212,16,208.23076923076923,0.23076923076923078,77,1569.6856831025643,16384,150,0.28763512164799265,5.0684521378783264e-05,12665.637890625,0.00082821917,-0.00020682811737060547,0.0,0.9973923563957214,-0.002318623155588284,-7.083171358704567,13901.7109375,,,
225,17,210.26829268292684,0.21951219512195122,77,1580.7113021219511,17408,160,0.28763512164799265,5.0684521378783264e-05,17195.812231445314,0.0001532007,0.0020180344581604004,0.0,0.99653160572052,-0.0008748229942284524,-7.079425248503685,20222.998046875,,,
238,18,209.86206896551724,0.21839080459770116,77,1577.3408708045977,18432,170,0.28763512164799265,5.0684521378783264e-05,10397.764129638672,0.0031561425,0.0013933777809143066,0.0001953125,0.9961199760437012,-0.005210719502065331,-7.076188465952873,11313.75,,,
251,19,211.62637362637363,0.2087912087912088,77,1571.8348024285713,19456,180,0.28763512164799265,5.0684521378783264e-05,11821.48062133789,0.0011837054,-0.0001621246337890625,0.0,0.9962104558944702,-0.002266828493156936,-7.075376358628273,11775.1435546875,,,
265,20,211.48958333333334,0.20833333333333334,77,1583.1305454583332,20480,190,0.28763512164799265,5.0684521378783264e-05,7519.5516906738285,0.002288591,0.00029778480529785156,0.0,0.9971860647201538,-0.004525617725448683,-7.077865317463875,8427.630859375,,,
278,21,210.14,0.21,77,1560.3874452000005,21504,200,0.28763512164799265,5.0684521378783264e-05,15567.834503173828,0.00094338553,-0.0007703304290771484,0.0,0.9972648620605469,-0.002277120534563437,-7.08071254491806,16136.349609375,,,
292,22,212.5,0.2,77,1551.6161976399997,22528,210,0.28763512164799265,5.0684521378783264e-05,10543.940542602539,0.0021057162,-0.0005235671997070312,9.765625e-05,0.9973196983337402,-0.0046853930864017455,-7.080863019824028,9975.5634765625,,,
306,23,210.07,0.21,76,1525.3341421599998,23552,220,0.28763512164799265,5.0684521378783264e-05,10578.746447753907,0.0024249507,0.0006799101829528809,0.0001953125,0.9986507296562195,-0.004614413666422479,-7.08423288166523,8923.3740234375,,,
319,24,205.39,0.24,76,1501.2572488699998,24576,230,0.28763512164799265,5.0684521378783264e-05,13263.997943115235,0.00073022925,0.0021606087684631348,0.0,0.9986724853515625,-0.0018290693464223296,-7.0880590081214905,12497.998046875,,,
335,25,207.53,0.23,76,1516.97778472,25600,240,0.28763512164799265,5.0684521378783264e-05,13387.095861816406,0.0011326468,-0.0017681121826171875,0.0,0.9987879991531372,-0.003107184817781672,-7.088140273094178,10131.0712890625,,,
349,26,212.19,0.21,76,1556.2392473799998,26624,250,0.28763512164799265,5.0684521378783264e-05,17136.235260009766,0.0015090874,-0.0009160041809082031,0.0,0.9989574551582336,-0.003029432875337079,-7.088818183541298,15605.4140625,,,
365,27,211.81,0.21,75,1562.18796975,27648,260,0.28763512164799265,5.0684521378783264e-05,17241.1793762207,0.0016725331,0.006423354148864746,0.0,1.0003998279571533,-0.004105193057330325,-7.092584562301636,18257.302734375,,,
380,28,210.36,0.21,75,1576.0647239600003,28672,270,0.28763512164799265,5.0684521378783264e-05,14980.396301269531,0.001166695,0.00036084651947021484,0.0,1.0000346899032593,-0.003004763025091961,-7.095791044831276,15246.2333984375,,,
395,29,205.48,0.23,75,1549.05802563,29696,280,0.28763512164799265,5.0684521378783264e-05,17858.54703979492,0.00051432266,0.00019365549087524414,0.0,1.0004451274871826,-0.0018467655376298354,-7.095549711585045,15868.4501953125,,,
415,30,207.97,0.22,73,1569.2723328299999,30720,290,0.28763512164799265,5.0684521378783264e-05,11558.662310791016,0.0025607108,-0.001678466796875,0.0,1.0007541179656982,-0.005527214022004045,-7.09732457101345,11848.966796875,,,
437,31,200.77,0.25,72,1554.5254515699999,31744,300,0.28763512164799265,5.0684521378783264e-05,11760.586920166015,0.00031169958,-0.00023090839385986328,0.0,1.0006513595581055,-0.0010470277862623333,-7.098040610551834,9464.7275390625,,,
452,32,198.53,0.26,72,1544.2583155900002,32768,310,0.28763512164799265,5.0684521378783264e-05,14452.392834472656,0.00051340606,-0.00023114681243896484,0.0,1.0011147260665894,-0.0016386528688599356,-7.0987141758203505,14114.1279296875,,,
467,33,196.69,0.27,72,1547.8332900300004,33792,320,0.28763512164799265,5.0684521378783264e-05,11694.391381835938,0.002215096,0.0003318190574645996,0.0,1.0001569986343384,-0.00440794922033092,-7.097664329409599,10849.4716796875,,,
481,34,199.44,0.26,72,1570.29519967,34816,330,0.28763512164799265,5.0684521378783264e-05,8611.683871459962,0.0009784972,-0.00010526180267333984,0.0,0.999383807182312,-0.0027547268255148083,-7.093245822191238,7228.9765625,,,
496,35,201.49,0.25,72,1600.1763180999997,35840,340,0.28763512164799265,5.0684521378783264e-05,17508.792559814454,0.00079214806,-1.4781951904296875e-05,0.0,0.9994544982910156,-0.0023275234503671526,-7.091488924622536,14309.7890625,,,
511,36,201.49,0.25,72,1574.6594623399994,36864,350,0.28763512164799265,5.0684521378783264e-05,14779.503240966797,0.0013769427,4.100799560546875e-05,0.0,0.9990477561950684,-0.003508904474438168,-7.090704441070557,12584.546875,,,
526,37,201.49,0.25,71,1588.6957092999999,37888,360,0.28763512164799265,5.0684521378783264e-05,11968.425872802734,0.00064934365,-6.449222564697266e-05,0.0,0.9983500242233276,-0.0011623778817011043,-7.088053005933761,10959.896484375,,,
542,38,201.57,0.25,71,1587.5492160999995,38912,370,0.28763512164799265,5.0684521378783264e-05,15935.598657226563,0.0004130361,1.6927719116210938e-05,0.0,0.9991602897644043,-0.0013914168084738776,-7.088026523590088,13050.361328125,,,
556,39,201.18,0.25,71,1591.0798039999997,39936,380,0.28763512164799265,5.0684521378783264e-05,7109.322253417969,0.001966212,0.00017130374908447266,0.0,0.9991051554679871,-0.003505969178513624,-7.0902787953615185,8429.8876953125,,,
569,40,201.18,0.25,71,1582.20029524,40960,390,0.28763512164799265,5.0684521378783264e-05,11488.112957763671,0.0010253362,0.00015032291412353516,0.0,0.9996284246444702,-0.002486510839662515,-7.091212251782418,12848.9775390625,,,
584,41,201.08,0.25,71,1591.58112826,41984,400,0.28763512164799265,5.0684521378783264e-05,7928.442532348633,0.0022070734,-7.426738739013672e-05,0.00029296875,0.9988963007926941,-0.004652118668309413,-7.090822538733482,7187.6328125,,,
606,42,200.18,0.25,70,1587.6091124,43008,410,0.28763512164799265,5.0684521378783264e-05,14284.51284790039,0.001632036,6.16908073425293e-05,0.0,0.9977843165397644,-0.0028483358677476645,-7.086084851622582,16038.2314453125,,,
622,43,201.09,0.24,70,1597.5284543700002,44032,420,0.28763512164799265,5.0684521378783264e-05,11898.898663330077,0.0023079645,-0.00010979175567626953,0.0001953125,0.9986327886581421,-0.003937494702404365,-7.085337495803833,10430.6982421875,,,
637,44,206.12,0.21,70,1646.1029133200002,45056,430,0.28763512164799265,5.0684521378783264e-05,10886.116925048827,0.0005379303,8.118152618408203e-05,0.0,0.9994949102401733,-0.001968754510744475,-7.089717602729797,10361.4423828125,,,
656,45,207.95,0.2,70,1659.6223927199999,46080,440,0.28763512164799265,5.0684521378783264e-05,19847.37746582031,0.00039959903,9.763240814208984e-05,0.0,0.9997747540473938,-0.001389177847886458,-7.09277169406414,17226.158203125,,,
672,46,211.74,0.18,70,1673.06632712,47104,450,0.28763512164799265,5.0684521378783264e-05,12514.584326171875,0.0020867623,-4.5299530029296875e-05,9.765625e-05,0.9997560381889343,-0.0029274879663717,-7.093355467915535,12425.392578125,,,
688,47,211.63,0.19,69,1673.5851960999998,48128,460,0.28763512164799265,5.0684521378783264e-05,15699.11806640625,0.0008700222,1.2040138244628906e-05,0.0,0.9999319314956665,-0.0018815277668181806,-7.093615636229515,13711.34765625,,,
706,48,214.08,0.18,69,1670.3010992,49152,470,0.28763512164799265,5.0684521378783264e-05,8896.835833740235,0.002078665,3.790855407714844e-05,9.765625e-05,0.9999904632568359,-0.003999486824613996,-7.094360020756722,7516.98828125,,,
,,,,,,50000,480,0.28763512164799265,5.0684521378783264e-05,10507.925024414062,0.0016228767,-2.5033950805664062e-06,0.0,0.9995148777961731,-0.002870008672471158,-7.093445664644241,9879.76953125,0.0,1243.6847269999998,250.0
725,49,211.48,0.19,69,1625.23423206,50176,,,,,,,,,,,,,,
742,50,213.87,0.18,68,1643.12333952,51200,490,0.28763512164799265,5.0684521378783264e-05,8874.190823364257,0.001774916,0.00020307302474975586,0.0,0.9984288215637207,-0.003972189160413109,-7.0895902663469315,8867.7880859375,,,
760,51,212.16,0.19,68,1606.32619897,52224,500,0.28763512164799265,5.0684521378783264e-05,10567.065911865235,0.0013852897,2.3245811462402344e-06,0.0,0.9974953532218933,-0.0041161917091812935,-7.084269815683365,11087.0986328125,,,
775,52,214.42,0.18,68,1610.3687414599997,53248,510,0.28763512164799265,5.0684521378783264e-05,6220.525646972656,0.0032531407,8.291006088256836e-05,0.00087890625,0.9963897466659546,-0.005429025180637837,-7.079213193058967,7107.57080078125,,,
