timestep,curriculum_level,reward,length,final_distance,success
200,0,414.154798,200,0.3894875124473802,False
400,0,379.774416,200,0.37501635858871996,False
600,0,596.590276,200,0.26369000324903064,False
800,0,350.86841,200,0.38650553135122967,False
1000,0,376.907384,200,0.45975508989545205,False
1200,0,474.278869,200,0.36115579091419686,False
1400,0,588.750736,200,0.40242891084379656,False
1600,0,465.431917,200,0.2810549349844033,False
1800,0,268.254112,200,0.4739165745817957,False
2000,0,277.167828,200,0.5314790346434441,False
2200,0,540.704236,200,0.3762631678244266,False
2400,0,863.049454,200,0.2358296767653978,False
2600,0,658.681812,200,0.3468676050993518,False
2800,0,415.572173,200,0.4273686563357953,False
3000,0,465.157349,200,0.335620038429701,False
3200,0,349.032014,200,0.525761667251422,False
3400,0,577.783408,200,0.22022056172898705,False
3600,0,489.343248,200,0.3061525485448688,False
3800,0,462.354589,200,0.3950316758824071,False
4000,0,473.503033,200,0.402667676701766,False
4133,0,595.590256,133,0.029024740306211813,True
4333,0,473.896261,200,0.4018934276370578,False
4533,0,500.342898,200,0.34254044985960747,False
4733,0,619.702053,200,0.2608954311022012,False
4933,0,502.152543,200,0.38701603506361126,False
5050,0,792.468547,117,0.02647758934246887,True
5250,0,495.703081,200,0.3951808803998902,False
5450,0,644.720405,200,0.4799641257303265,False
5650,0,590.907431,200,0.31759209776905617,False
5850,0,881.799253,200,0.3524308368844113,False
6050,0,366.181092,200,0.42755019797662397,False
6250,0,573.35401,200,0.3035054792183444,False
6450,0,874.049317,200,0.2114035745005701,False
6650,0,408.997616,200,0.49970485940267334,False
6850,0,467.714186,200,0.36171305065420123,False
7050,0,374.073978,200,0.3675916359260418,False
7250,0,933.082339,200,0.11612571400263808,False
7450,0,678.625902,200,0.2671483032233696,False
7650,0,740.306359,200,0.22810901070331832,False
7850,0,641.489986,200,0.28982111215649836,False
8050,0,437.678696,200,0.3355718503537612,False
8250,0,924.284962,200,0.2994043293215084,False
8450,0,566.201529,200,0.3412180058309609,False
8650,0,719.210331,200,0.1987480331697646,False
8850,0,854.492015,200,0.14919264588623418,False
9050,0,754.87984,200,0.306535884528509,False
9250,0,813.063269,200,0.25731902806591705,False
9450,0,883.790769,200,0.22594414603705776,False
9650,0,1162.411538,200,0.08421605877238975,False
9850,0,1018.624656,200,0.2522187715321209,False
10050,0,619.927297,200,0.2895862899758265,False
10250,0,785.210192,200,0.2645765576001696,False
10450,0,1544.060591,200,0.08319852049685031,False
10650,0,1053.697804,200,0.27785465319202685,False
10850,0,826.687046,200,0.24565850726689173,False
11050,0,858.309355,200,0.26753955195449064,False
11250,0,566.388344,200,0.3069894241294412,False
11450,0,682.329813,200,0.19910494250306865,False
11650,0,1077.895091,200,0.10668558917292939,False
11850,0,732.946466,200,0.1785260665052349,False
12050,0,976.854105,200,0.2563966980350053,False
12250,0,1072.960755,200,0.2564517922997991,False
12378,0,760.015903,128,0.015093776334803624,True
12578,0,1363.626248,200,0.09091549917792956,False
12778,0,1400.686006,200,0.09815278254125315,False
12978,0,1359.285215,200,0.1271871047823904,False
13178,0,723.765138,200,0.23744712600357895,False
13378,0,769.852841,200,0.2345691736039277,False
13438,0,403.966512,60,0.026847999008237134,True
13638,0,759.309626,200,0.23865042733271988,False
