curriculum_level,mean_reward,std_reward,mean_length,success_rate,mean_final_distance,episodes_in_level
0,1041.944078514815,327.7875744845921,185.45925925925926,0.14074074074074075,0.16591136333280698,540
1,1148.4328035806452,296.52844345824127,189.51423149905122,0.10436432637571158,0.1525071383107853,527
2,1151.4480938218924,352.5968855655465,185.64749536178107,0.11873840445269017,0.1453012411120084,539
3,1067.3190875181817,371.52228235720804,181.85636363636362,0.13272727272727272,0.15491950619798744,550
4,1018.411204061706,351.47235832348724,184.4283121597096,0.11252268602540835,0.1709404504529523,551
