episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-297.744639,250,0,0.10033369,0
2,-238.658691,250,0,0.10033369,0
3,-99.544777,250,0,0.10033369,0
4,-148.509276,250,0,0.10033369,0
5,-128.700957,250,0,0.10033369,0
6,-145.608343,250,0,0.10033369,0
7,-97.465966,250,0,0.10033369,0
8,-264.617138,250,0,0.10033369,0
9,23.188301,41,1,0.10033369,1
10,-135.60384,250,0,0.10033369,0
11,-125.839728,250,0,0.10033369,0
12,-150.890278,250,0,0.10033369,0
13,-64.472799,250,0,0.10033369,0
14,-83.706105,250,0,0.10033369,0
15,-174.13272,250,0,0.10033369,0
16,-109.105095,250,0,0.10033369,0
17,-160.886416,250,0,0.10033369,0
18,25.719113,4,1,0.10033369,1
19,-83.95648,250,0,0.10033369,0
20,-152.411129,250,0,0.10033369,0
21,-78.009221,250,0,0.10033369,0
22,-61.406193,250,0,0.10033369,0
23,-101.277385,250,0,0.10033369,0
24,-97.814427,250,0,0.10033369,0
25,-106.340578,250,0,0.10033369,0
26,-148.546498,250,0,0.10033369,0
27,-134.878849,250,0,0.10033369,0
28,-166.944036,250,0,0.10033369,0
29,-108.901143,250,0,0.10033369,0
30,-91.323753,250,0,0.10033369,0
31,-94.510045,250,0,0.10033369,0
32,-143.338408,250,0,0.10033369,0
33,-69.183553,250,0,0.10033369,0
34,25.336345,1,1,0.10033369,1
35,-85.901471,250,0,0.10033369,0
36,25.233135,3,1,0.10033369,1
37,-43.294862,250,0,0.10033369,0
38,-92.996621,250,0,0.10033369,0
39,-121.120936,250,0,0.10033369,0
40,-59.691553,250,0,0.10033369,0
41,-112.257378,250,0,0.10033369,0
42,-190.256245,250,0,0.10033369,0
43,-84.819464,250,0,0.10033369,0
44,24.959521,8,1,0.10033369,1
45,23.489423,26,1,0.10033369,2
46,-77.761756,250,0,0.10033369,0
47,7.306003,88,1,0.10033369,1
48,24.317701,27,1,0.10033369,2
49,-80.313721,250,0,0.10033369,0
50,-49.195205,250,0,0.10033369,0
51,-48.125698,250,0,0.10033369,0
52,-67.035863,250,0,0.10033369,0
53,-138.237947,250,0,0.10033369,0
54,-109.515224,250,0,0.10033369,0
55,23.279453,21,1,0.10033369,1
56,-154.609162,250,0,0.10033369,0
57,25.200544,1,1,0.10033369,1
58,-118.741088,250,0,0.10033369,0
59,-121.596594,250,0,0.10033369,0
60,-127.09997,250,0,0.10033369,0
61,-132.567771,250,0,0.10033369,0
62,-41.697958,250,0,0.10033369,0
63,-70.726431,250,0,0.10033369,0
64,-114.722137,250,0,0.10033369,0
65,25.020648,8,1,0.10033369,1
66,-53.124607,250,0,0.10033369,0
67,20.873914,60,1,0.10033369,1
68,-65.848093,250,0,0.10033369,0
69,-159.498261,250,0,0.10033369,0
70,-48.35253,250,0,0.10033369,0
71,-151.220324,250,0,0.10033369,0
72,-102.634488,250,0,0.10033369,0
73,-103.940916,250,0,0.10033369,0
74,-124.30525,250,0,0.10033369,0
75,-90.63897,250,0,0.10033369,0
76,-98.50657,250,0,0.10033369,0
77,15.904297,44,1,0.10033369,1
78,18.490056,60,1,0.10033369,2
79,-103.935603,250,0,0.10033369,0
80,-125.82347,250,0,0.10033369,0
81,-66.528951,250,0,0.10033369,0
82,23.148465,7,1,0.10033369,1
83,-93.012685,250,0,0.10033369,0
84,-73.539715,250,0,0.10033369,0
85,-105.214642,250,0,0.10033369,0
86,-67.923853,250,0,0.10033369,0
87,-21.782269,159,1,0.10033369,1
88,26.347782,10,1,0.10033369,2
89,-149.0001,250,0,0.10033369,0
90,-148.683135,250,0,0.10033369,0
91,-143.641402,250,0,0.10033369,0
92,25.255881,11,1,0.10033369,1
93,23.951999,25,1,0.10033369,2
94,-73.469007,250,0,0.10033369,0
95,-134.500289,250,0,0.10033369,0
96,-107.650597,250,0,0.10033369,0
97,22.76226,34,1,0.10033369,1
98,-166.581701,250,0,0.10033369,0
99,-154.04192,250,0,0.10033369,0
100,-95.170133,250,0,0.10033369,0
101,-104.470218,250,0,0.10033369,0
102,-62.091928,250,0,0.10033369,0
103,-95.674283,250,0,0.10033369,0
104,-117.128929,250,0,0.10033369,0
105,-76.22463,250,0,0.10033369,0
106,-143.126057,250,0,0.10033369,0
107,20.697101,51,1,0.10033369,1
108,-3.286724,79,1,0.10033369,2
109,-90.980868,250,0,0.10033369,0
110,-174.370678,250,0,0.10033369,0
111,-61.469322,250,0,0.10033369,0
112,-99.615107,250,0,0.10033369,0
113,-123.772861,250,0,0.10033369,0
114,-100.954094,250,0,0.10033369,0
115,-91.860003,250,0,0.10033369,0
116,25.572309,13,1,0.10033369,1
117,7.488095,67,1,0.10033369,2
118,25.963546,9,1,0.10033369,3
119,-198.100141,250,0,0.10033369,0
120,-148.081026,250,0,0.10033369,0
121,-200.008809,250,0,0.10033369,0
122,-128.353686,250,0,0.10033369,0
123,-118.286036,250,0,0.10033369,0
124,-115.009496,250,0,0.10033369,0
125,25.209209,2,1,0.10033369,1
126,-163.532171,250,0,0.10033369,0
127,-72.588672,250,0,0.10033369,0
128,25.539629,2,1,0.10033369,1
129,-65.945682,250,0,0.10033369,0
130,-91.110498,250,0,0.10033369,0
131,-125.597891,250,0,0.10033369,0
132,-78.240168,250,0,0.10033369,0
133,-49.058088,250,0,0.10033369,0
134,-114.970625,250,0,0.10033369,0
135,-96.246759,250,0,0.10033369,0
136,10.855573,73,1,0.10033369,1
137,-156.578033,250,0,0.10033369,0
138,-126.574296,250,0,0.10033369,0
139,-73.448613,250,0,0.10033369,0
140,-46.984804,250,0,0.10033369,0
141,14.892865,77,1,0.10033369,1
142,-194.260944,250,0,0.10033369,0
143,23.962728,24,1,0.10033369,1
144,-83.27007,250,0,0.10033369,0
145,-79.594283,250,0,0.10033369,0
146,-169.553923,250,0,0.10033369,0
147,-133.939338,250,0,0.10033369,0
148,-91.479001,250,0,0.10033369,0
149,-0.116488,103,1,0.10033369,1
150,-116.457197,250,0,0.10033369,0
151,25.600021,2,1,0.10033369,1
152,-7.13624,182,1,0.10033369,2
153,-118.903898,250,0,0.10033369,0
154,2.164248,132,1,0.10033369,1
155,25.345157,1,1,0.10033369,2
156,-63.896831,250,0,0.10033369,0
157,-47.476319,250,0,0.10033369,0
158,-158.357904,250,0,0.10033369,0
159,-116.069791,250,0,0.10033369,0
160,-96.96875,250,0,0.10033369,0
161,-159.162882,250,0,0.10033369,0
162,-77.719143,250,0,0.10033369,0
163,-132.810505,250,0,0.10033369,0
164,-124.999171,250,0,0.10033369,0
165,-90.153495,250,0,0.10033369,0
166,-96.975963,250,0,0.10033369,0
167,-79.867834,250,0,0.10033369,0
168,-83.072522,250,0,0.10033369,0
169,25.163586,23,1,0.10033369,1
170,-70.325297,250,0,0.10033369,0
171,-101.556663,250,0,0.10033369,0
172,17.595212,36,1,0.10033369,1
173,-100.484866,250,0,0.10033369,0
174,-158.252305,250,0,0.10033369,0
175,-143.472903,250,0,0.10033369,0
176,16.026059,58,1,0.10033369,1
177,-163.254231,250,0,0.10033369,0
178,-111.6643,250,0,0.10033369,0
179,-89.916949,250,0,0.10033369,0
180,-113.440829,250,0,0.10033369,0
181,-84.681647,250,0,0.10033369,0
182,-60.143545,250,0,0.10033369,0
183,-89.259859,250,0,0.10033369,0
184,-123.675392,250,0,0.10033369,0
185,-100.317503,250,0,0.10033369,0
186,-163.041342,250,0,0.10033369,0
187,-72.855105,250,0,0.10033369,0
188,-145.910784,250,0,0.10033369,0
189,-88.138301,250,0,0.10033369,0
190,-105.520483,250,0,0.10033369,0
191,-82.384261,250,0,0.10033369,0
192,-76.578128,250,0,0.10033369,0
193,19.246267,59,1,0.10033369,1
194,-27.282024,137,1,0.10033369,2
195,-55.142079,250,0,0.10033369,0
196,24.695831,1,1,0.10033369,1
197,25.363109,9,1,0.10033369,2
198,24.881498,2,1,0.10033369,3
199,-164.776251,250,0,0.10033369,0
200,-111.930056,250,0,0.10033369,0
201,-88.165857,250,0,0.10033369,0
202,-58.202356,194,1,0.10033369,1
203,-139.206738,250,0,0.10033369,0
204,-126.305308,250,0,0.10033369,0
205,-40.889747,250,0,0.10033369,0
206,-107.43036,250,0,0.10033369,0
207,1.602199,129,1,0.10033369,1
208,-92.788296,250,0,0.10033369,0
209,-127.80577,250,0,0.10033369,0
210,-132.997562,250,0,0.10033369,0
211,-55.687493,250,0,0.10033369,0
212,-55.76003,250,0,0.10033369,0
213,9.134617,68,1,0.10033369,1
214,-87.621628,250,0,0.10033369,0
215,-82.147471,250,0,0.10033369,0
