episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
1,1701.906678,250,0,0.148790967464447,0,"[ 1.7871445 , 1.2607871 , 0.39341545,-1.0852565 ,-0.33456686]","[-0.23890546, 0.4337187 , 0.94905216]"
2,2280.359111,250,0,0.148790967464447,0,"[-0.86941797, 0.6774347 ,-0.24211831,-0.2795418 , 0.02346369]","[0.1237971,0.4771917,1.0134629]"
3,1727.366384,250,0,0.148790967464447,0,"[ 1.5405772, 1.1928586, 1.3471369,-1.1315314, 1.1983043]","[-0.01336425, 0.27323538, 0.5211129 ]"
4,1921.065519,171,1,0.148790967464447,1,"[-0.06884205, 1.1208131 ,-1.9249089 ,-0.36901063, 0.03199596]","[0.07961152,0.5345515 ,0.96549284]"
5,1573.479594,250,0,0.148790967464447,0,"[-1.4343845 , 1.562     , 0.02550099,-1.0773551 ,-0.7679598 ]","[0.08013884,0.53261316,0.99440455]"
6,1193.616846,250,0,0.148790967464447,0,"[-0.47400486, 1.0414543 ,-2.0857    ,-0.20870002, 1.5130897 ]","[0.20335272,0.25096536,1.2216513 ]"
7,1957.387432,250,0,0.148790967464447,0,"[-0.42106724, 1.5120001 , 1.2693737 ,-0.06866587,-1.6722589 ]","[-0.11659715, 0.5616692 , 0.8487669 ]"
8,2721.638303,250,0,0.148790967464447,0,"[ 1.3473005 , 1.4620001 , 2.0857    ,-0.27186075,-1.3547039 ]","[0.02877923,0.4880961 ,0.7565741 ]"
9,1355.14733,250,0,0.148790967464447,0,"[ 0.50338304, 0.89983994,-1.9357002 ,-0.7793115 , 0.12373583]","[-0.00398693, 0.4192274 , 0.69978964]"
10,1629.568543,250,0,0.148790967464447,0,"[ 1.438282  , 0.14076267, 1.3661251 ,-0.51185346,-0.6003162 ]","[-0.03221921, 0.3394537 , 0.54312986]"
11,797.506864,250,0,0.148790967464447,0,"[ 1.8479344, 1.5120001, 2.0857   ,-0.5194975,-1.7739   ]","[0.02608142,0.17675507,0.5728875 ]"
12,1364.843339,250,0,0.148790967464447,0,"[-0.56020397, 0.05870001,-1.3875843 ,-0.67295045, 1.4558389 ]","[0.18569385,0.31816453,0.755925  ]"
13,1565.729138,250,0,0.148790967464447,0,"[ 1.7401859 , 0.02651463, 1.9580517 ,-0.21471892,-0.2690758 ]","[0.05844216,0.34800914,0.6657867 ]"
14,1551.805564,250,0,0.148790967464447,0,"[ 0.755935  , 0.05870001, 2.0857    ,-0.47624356,-1.4525647 ]","[0.04835135,0.49964175,0.9097686 ]"
15,914.258101,75,1,0.148790967464447,1,"[ 1.484904  , 0.6216388 ,-0.39141116,-0.5791215 ,-0.82023454]","[0.01278475,0.29196298,0.54343927]"
16,2503.91647,250,0,0.148790967464447,0,"[-0.3115968 , 0.1587    , 1.0411304 ,-0.18043073, 0.19432887]","[0.3094953 ,0.161739  ,0.96667224]"
17,867.892646,56,1,0.148790967464447,1,"[-1.6003582 , 1.3620002 ,-1.9857001 ,-0.50575614,-1.2546303 ]","[-0.15782616, 0.5430942 , 0.9130522 ]"
18,1540.93474,250,0,0.148790967464447,0,"[ 0.17498913, 0.48639125, 1.0690787 ,-1.0614003 ,-0.40422356]","[-0.18262585, 0.42719465, 0.7662866 ]"
19,1051.029626,250,0,0.148790967464447,0,"[-1.9769819 , 0.30870003,-2.0123036 ,-0.2087    , 1.6988548 ]","[0.09352595,0.50860065,0.93615794]"
20,2205.851968,250,0,0.148790967464447,0,"[ 1.5339004 , 0.7975226 , 0.10440169,-0.21936826,-0.29649824]","[-0.08109674, 0.3261537 , 0.63119745]"
21,1639.860569,250,0,0.148790967464447,0,"[ 1.7424985, 1.4158916, 1.358418 ,-1.3114   ,-1.311234 ]","[-0.04753774, 0.5578496 , 0.93164307]"
22,2881.947025,223,1,0.148790967464447,1,"[ 0.592498  , 1.3313756 ,-1.0463824 ,-0.10870001,-0.25926423]","[0.01447679,0.52574223,0.8609294 ]"
23,1673.41715,250,0,0.148790967464447,0,"[ 0.27054182, 0.5812049 , 1.8040899 ,-0.62586707, 0.8407464 ]","[0.05894586,0.19539629,1.1908802 ]"
