#{"t_start": 1749295762.3474426, "env_id": "None"}
r,l,t
1701.906678,250,5.5753
2280.359111,250,8.482653
1727.366384,250,10.526755
1921.065519,171,12.060081
1573.479594,250,14.101608
1193.616846,250,16.535691
1957.387432,250,18.625827
2721.638303,250,20.605854
1355.14733,250,22.631203
1629.568543,250,24.6577
797.506864,250,26.890153
1364.843339,250,29.216566
1565.729138,250,31.402823
1551.805564,250,33.453619
914.258101,75,34.133636
2503.91647,250,36.418354
867.892646,56,36.768146
1540.93474,250,39.140028
1051.029626,250,41.479895
2205.851968,250,43.617601
1639.860569,250,45.864911
2881.947025,223,47.866655
1673.41715,250,49.934878
1585.996323,152,51.43743
1115.55453,250,53.560993
1709.460208,250,55.92976
1722.657957,250,58.112201
1134.839296,75,58.591063
1022.080174,250,60.698863
1874.111448,250,62.812204
1406.057465,250,65.502618
2056.798241,250,68.125557
1880.842506,151,69.188375
129.934017,2,69.188375
2571.700053,233,71.19441
1119.053263,250,73.329135
707.882,250,75.559875
1201.740919,250,77.68472
345.820275,18,77.805975
1952.678402,250,79.905215
957.153949,250,81.987625
1793.699594,250,84.156984
1979.144126,250,86.529173
1153.141446,250,88.819916
2765.127076,250,90.993782
1299.968429,134,92.342591
1370.807252,250,94.553304
1614.316143,250,96.677073
978.686161,250,99.019405
1327.808747,250,101.171825
2180.921686,250,103.479863
1331.280646,250,105.670992
1224.211023,250,107.816723
2041.580951,250,110.391576
843.342624,250,112.577749
1553.051866,250,114.39738
1764.062882,250,116.535457
2985.865106,250,118.670102
435.971318,24,119.339884
1747.423428,250,121.47792
2118.493869,250,123.350519
1710.231024,250,125.532588
1340.1035,250,127.778477
947.192163,250,130.114889
2473.756123,250,132.40695
2123.693009,194,134.258126
1614.772131,250,136.504869
1606.871709,250,138.734173
1597.519724,250,140.975965
1511.095913,250,143.277009
1374.83925,250,145.522613
2683.838791,250,148.403301
2835.016301,250,150.695776
2394.465558,250,153.013456
1339.793313,250,155.229771
1143.107023,250,157.484944
2036.579179,250,159.913204
259.171309,14,160.002595
2375.94028,229,162.20989
1866.533102,250,164.490506
1417.695267,250,166.823119
1922.038249,182,168.583455
1004.365665,67,169.101171
1509.461122,250,171.524508
2293.247616,250,173.811949
750.194501,57,174.213078
1419.985512,104,175.0342
1523.133293,250,177.290796
2737.794049,250,179.523467
159.182675,4,179.560912
528.967932,35,179.854522
1840.974306,250,182.276474
2595.235831,250,184.546322
2156.322855,250,186.795114
954.264963,250,189.293468
1606.208701,250,191.669297
2042.066135,250,193.96464
1912.184262,250,196.26283
2229.477745,250,198.582597
1755.183888,250,201.033257
227.761128,9,201.122532
763.710107,51,201.547361
957.071848,250,203.873309
1580.509912,250,206.223376
2360.900919,250,208.67783
921.965817,250,211.159653
1450.168621,250,213.465317
1135.203762,250,215.8199
957.66839,250,218.282488
1951.349901,250,220.796424
1996.227711,250,223.123974
2416.324644,250,225.443985
1725.858145,250,227.804019
1694.193573,250,230.2672
1086.913907,250,232.631317
2012.366495,250,234.99317
937.336319,250,237.378394
1554.388076,250,239.938148
130.561451,2,239.953849
1005.765663,250,242.35923
2136.811158,250,244.741856
1960.490853,250,247.480448
600.361473,43,248.020826
3027.289297,250,250.562835
1820.876889,250,252.979918
1518.343063,250,255.389099
3272.220421,250,257.846116
2335.85217,212,259.981778
2403.66541,250,262.74276
1955.475024,250,265.287502
1493.615749,250,267.833177
451.587997,29,268.103563
904.230764,79,268.738414
728.908873,250,271.174303
2090.801068,159,272.930062
1216.703451,250,275.35069
1574.892524,250,277.997207
1655.21035,250,280.561223
1657.254741,250,283.015581
2653.267335,250,285.510702
1151.241743,250,288.249368
1244.735077,250,290.689661
1710.819823,136,291.836823
1479.941005,250,294.926659
494.801445,29,295.280231
1061.186044,250,298.954201
367.471804,19,299.207454
1755.723389,250,302.817715
1876.199748,250,306.024289
2059.852152,250,309.193118
753.364168,250,311.693233
1014.428193,250,314.172617
1850.83149,250,316.745218
1116.574966,250,319.215209
1588.154787,250,321.731541
1161.292071,250,324.276436
2381.62307,250,327.593124
1883.250562,250,330.740834
1934.123792,250,333.238687
1965.498804,250,335.857339
968.906383,250,338.487421
273.898342,12,338.607715
1551.202549,125,340.016367
1290.644453,250,342.535801
1372.459233,250,345.151586
625.837754,42,345.609666
1416.592345,250,348.157578
327.232212,18,348.299865
1457.538104,250,350.824268
1366.871109,250,353.352156
2392.585952,250,355.959018
2112.935167,250,358.567907
1877.662823,250,361.159539
2283.281723,250,363.766275
2165.751523,250,366.454179
1189.666364,250,369.221555
2091.957626,250,371.953295
2229.36224,250,374.64164
1509.962633,250,377.201643
1022.304026,250,379.314455
1553.594038,250,382.405516
500.651565,36,383.420981
2193.932934,250,386.271198
1013.10278,250,388.871215
1824.696833,250,391.561182
2035.489408,250,394.230338
2792.56692,250,396.427172
2012.03805,250,399.26405
244.43416,10,399.762979
2611.322503,250,401.978169
2083.450866,250,404.685254
2874.912795,250,407.248844
1528.361606,250,409.848001
2653.535614,250,412.48656
1243.825345,250,415.135762
1254.580734,99,416.463554
2967.187304,250,419.045166
2424.738373,250,421.659241
983.074677,250,424.34127
2499.262152,250,426.964616
1890.96414,250,429.764783
1528.108202,250,432.46419
788.922481,250,435.132748
2708.127534,250,437.766339
1350.411094,250,440.354443
204.329423,8,440.451744
1218.19691,250,443.215292
851.826986,250,445.894142
1198.955723,250,448.122801
2522.502149,250,450.955999
863.709641,250,453.659584
1786.322321,250,456.533026
1353.68339,250,459.519939
1811.87796,250,462.411952
1521.606156,250,465.271477
910.59665,250,468.097435
1156.38495,250,470.845592
2165.477592,250,473.62697
1297.818093,250,476.298639
2204.514102,250,479.428374
794.671663,74,480.920951
1993.928627,250,483.7792
2325.611196,250,486.116673
2661.762918,250,489.545655
2621.781119,250,492.942991
2995.144165,250,496.51539
1696.970149,250,499.975028
2713.284741,224,504.001171
241.15626,10,504.106712
2349.299319,250,507.446067
1185.627537,250,510.245152
1691.665565,250,513.227771
2282.866331,250,515.943428
2562.186049,250,518.868131
1584.965708,250,521.584182
2439.69883,250,524.429103
1717.769235,250,527.627936
958.992082,250,530.472132
678.412887,43,530.870666
2273.757665,250,533.632375
185.789737,6,533.680622
2835.687525,250,536.60268
2390.84993,250,539.604172
1733.034846,250,542.380372
1911.910581,250,545.078683
1378.113095,250,547.867452
1039.55674,250,550.804397
1863.798537,250,553.622873
2676.531474,250,556.387969
2060.62026,250,559.263445
1114.160049,250,561.969765
