time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,train/ent_coef,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/radius,eval/success_rate,eval/mean_reward,eval/mean_ep_length
156,4,3.0551702976226807,237,-6.438540935516357,-0.08082889020442963,12,4.066563313514796e-05,2000,0.9904206395149231,0.0,250.0,-181.61076825,0.10360972,,,
156,8,,,,,12,,2000,,0.0,250.0,-181.61076825,,,,
161,12,1.4713544845581055,487,-13.380818367004395,-0.16583244502544403,24,4.066563313514796e-05,4000,0.9804192185401917,0.17647058823529413,217.2941176470588,-129.46090352941178,0.10360972,,,
161,16,,,,,24,,4000,,0.17647058823529413,217.2941176470588,-129.46090352941178,,,,
156,20,1.0172855854034424,737,-20.6993350982666,-0.24686728417873383,38,4.066563313514796e-05,6000,0.9705858826637268,0.12,227.76,-134.58421964,0.10360972,,,
156,24,,,,,38,,6000,,0.12,227.76,-134.58421964,,,,
159,28,1.0725972652435303,882,-24.24846649169922,-0.2898390293121338,44,4.066563313514796e-05,7160,0.9649516940116882,0.14285714285714285,221.75,-130.94410196428572,0.10360972,,,
159,32,1.457831859588623,987,-26.37748146057129,-0.32700061798095703,50,4.066563313514796e-05,8000,0.9608963131904602,0.12121212121212122,226.03030303030303,-132.00124509090912,0.10360972,,,
160,36,1.1362512111663818,1036,-26.865745544433594,-0.3426106572151184,52,4.066563313514796e-05,8392,0.9590098261833191,0.1388888888888889,221.11111111111111,-131.18315369444446,0.10360972,,,
160,40,1.3226404190063477,1237,-29.00136375427246,-0.41195884346961975,62,4.066563313514796e-05,10000,0.9513022303581238,0.14285714285714285,224.6904761904762,-128.22572352380953,0.10360972,,,
160,44,1.1381242275238037,1286,-29.582775115966797,-0.4242095947265625,64,4.066563313514796e-05,10392,0.9494285583496094,0.13636363636363635,225.8409090909091,-126.49750209090911,0.10360972,,,
160,48,1.267305612564087,1465,-30.053817749023438,-0.48265916109085083,73,4.066563313514796e-05,11824,0.9426058530807495,0.16666666666666666,221.41666666666666,-120.52452799999999,0.10360972,,,
159,52,1.0637104511260986,1536,-30.766572952270508,-0.5046549439430237,77,4.066563313514796e-05,12392,0.9399115443229675,0.15384615384615385,223.6153846153846,-120.94389663461538,0.10360972,,,
