episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,24.29904,25,1,0.10033369,1
2,-226.15466,250,0,0.10033369,0
3,-122.408494,250,0,0.10033369,0
4,-212.218775,250,0,0.10033369,0
5,-174.991331,250,0,0.10033369,0
6,-232.527734,250,0,0.10033369,0
7,-222.715242,250,0,0.10033369,0
8,-113.097712,250,0,0.10033369,0
9,-171.280928,250,0,0.10033369,0
10,-183.146411,250,0,0.10033369,0
11,-212.758523,250,0,0.10033369,0
12,-156.429641,250,0,0.10033369,0
13,-120.040161,250,0,0.10033369,0
14,-164.371971,250,0,0.10033369,0
15,-175.362645,250,0,0.10033369,0
16,-162.29476,250,0,0.10033369,0
17,23.287045,18,1,0.10033369,1
18,-185.344622,250,0,0.10033369,0
19,19.581608,20,1,0.10033369,1
20,-17.675287,153,1,0.10033369,2
21,-131.099232,250,0,0.10033369,0
22,-130.68308,250,0,0.10033369,0
23,-115.045408,250,0,0.10033369,0
24,-215.213201,250,0,0.10033369,0
25,-110.36837,250,0,0.10033369,0
26,-86.941026,250,0,0.10033369,0
27,-100.98731,250,0,0.10033369,0
28,16.622387,57,1,0.10033369,1
29,6.304201,70,1,0.10033369,2
30,-99.564271,250,0,0.10033369,0
31,-186.559374,250,0,0.10033369,0
32,-159.447772,250,0,0.10033369,0
33,-140.751296,250,0,0.10033369,0
34,-153.525446,250,0,0.10033369,0
35,-161.00513,250,0,0.10033369,0
36,25.439939,2,1,0.10033369,1
37,-1.140496,72,1,0.10033369,2
38,-154.00836,250,0,0.10033369,0
39,26.735649,5,1,0.10033369,1
40,-99.913943,250,0,0.10033369,0
41,0.062235,152,1,0.10033369,1
42,-179.321359,250,0,0.10033369,0
43,-151.561228,250,0,0.10033369,0
44,-219.700294,250,0,0.10033369,0
45,-99.333962,250,0,0.10033369,0
46,-76.585192,250,0,0.10033369,0
47,22.318465,11,1,0.10033369,1
48,-120.881712,250,0,0.10033369,0
49,16.88595,46,1,0.10033369,1
50,-128.58315,250,0,0.10033369,0
51,21.514976,19,1,0.10033369,1
52,-41.474652,152,1,0.10033369,2
53,-33.053646,124,1,0.10033369,3
54,-161.582419,250,0,0.10033369,0
55,-107.412485,250,0,0.10033369,0
56,-139.880761,250,0,0.10033369,0
57,-10.08462,91,1,0.10033369,1
58,-124.925743,250,0,0.10033369,0
59,-69.722892,250,0,0.10033369,0
60,-123.770365,250,0,0.10033369,0
61,-197.555755,250,0,0.10033369,0
62,25.814285,12,1,0.10033369,1
63,-179.975742,250,0,0.10033369,0
64,24.315567,17,1,0.10033369,1
65,-98.849668,250,0,0.10033369,0
66,-106.267461,250,0,0.10033369,0
67,-91.881298,250,0,0.10033369,0
68,-174.034829,250,0,0.10033369,0
69,-164.187303,250,0,0.10033369,0
70,-4.628056,106,1,0.10033369,1
71,-202.951717,250,0,0.10033369,0
72,26.281126,9,1,0.10033369,1
73,-131.256762,250,0,0.10033369,0
74,-29.488603,184,1,0.10033369,1
75,-197.665869,250,0,0.10033369,0
76,-119.571408,250,0,0.10033369,0
77,-117.716565,250,0,0.10033369,0
78,-114.39939,250,0,0.10033369,0
79,-35.726213,203,1,0.10033369,1
80,1.24008,85,1,0.10033369,2
81,-102.871236,250,0,0.10033369,0
82,-58.495482,250,0,0.10033369,0
83,-165.560075,250,0,0.10033369,0
84,-136.589669,250,0,0.10033369,0
85,-59.724383,250,1,0.10033369,1
86,-238.092849,250,0,0.10033369,0
87,-182.66486,250,0,0.10033369,0
88,-142.625209,250,0,0.10033369,0
89,-260.188828,250,0,0.10033369,0
90,-37.48051,182,1,0.10033369,1
91,-202.200528,250,0,0.10033369,0
92,-178.467891,250,0,0.10033369,0
93,-91.022906,250,0,0.10033369,0
94,-65.12889,250,0,0.10033369,0
95,-105.573896,250,0,0.10033369,0
96,-153.302461,250,0,0.10033369,0
97,-29.260558,181,1,0.10033369,1
98,-111.8168,250,0,0.10033369,0
99,-134.259329,250,0,0.10033369,0
100,-97.270641,250,0,0.10033369,0
101,-108.210613,250,0,0.10033369,0
102,-90.722428,250,0,0.10033369,0
103,8.307546,39,1,0.10033369,1
104,26.281958,9,1,0.10033369,2
105,-126.236388,250,0,0.10033369,0
106,-131.17639,250,0,0.10033369,0
107,-114.427999,250,0,0.10033369,0
108,-157.089884,250,0,0.10033369,0
109,24.713547,13,1,0.10033369,1
110,4.008216,72,1,0.10033369,2
111,-91.294198,250,0,0.10033369,0
112,-121.176864,250,0,0.10033369,0
113,-19.949885,95,1,0.10033369,1
114,-123.520219,250,0,0.10033369,0
115,15.69519,33,1,0.10033369,1
116,-159.315834,250,0,0.10033369,0
117,-95.349717,250,0,0.10033369,0
118,-129.335158,250,0,0.10033369,0
119,16.040923,55,1,0.10033369,1
120,-96.044375,250,0,0.10033369,0
121,-130.350675,250,0,0.10033369,0
122,-115.395512,250,0,0.10033369,0
123,-200.158514,250,0,0.10033369,0
124,-46.824048,246,1,0.10033369,1
125,-146.613747,250,0,0.10033369,0
126,-140.400846,250,0,0.10033369,0
127,24.314196,8,1,0.10033369,1
128,-150.812937,250,0,0.10033369,0
129,-199.332586,250,0,0.10033369,0
130,-121.414072,250,0,0.10033369,0
131,-127.61159,250,0,0.10033369,0
132,-102.868044,250,0,0.10033369,0
133,-106.350434,250,0,0.10033369,0
134,-94.068504,250,0,0.10033369,0
135,-124.367694,250,0,0.10033369,0
136,-122.139823,250,0,0.10033369,0
137,-110.472313,250,0,0.10033369,0
138,-141.956072,250,0,0.10033369,0
139,-94.398501,250,0,0.10033369,0
140,10.04348,102,1,0.10033369,1
141,-22.023584,86,1,0.10033369,2
142,-79.661306,250,0,0.10033369,0
143,-100.067112,250,0,0.10033369,0
144,-107.913331,250,0,0.10033369,0
145,25.564032,1,1,0.10033369,1
146,25.142517,5,1,0.10033369,2
147,-118.442892,250,0,0.10033369,0
148,-228.351546,250,0,0.10033369,0
149,-70.943733,250,0,0.10033369,0
150,-159.368172,250,0,0.10033369,0
151,-108.339336,250,0,0.10033369,0
152,-131.436596,250,0,0.10033369,0
153,6.628702,74,1,0.10033369,1
154,-107.729699,250,0,0.10033369,0
155,-81.568449,250,0,0.10033369,0
156,-100.532339,250,0,0.10033369,0
157,-127.969776,250,0,0.10033369,0
158,-113.161287,250,0,0.10033369,0
159,-20.79586,140,1,0.10033369,1
160,-117.860474,250,0,0.10033369,0
161,-107.002695,250,0,0.10033369,0
162,-150.658585,250,0,0.10033369,0
163,-195.808762,250,0,0.10033369,0
164,-178.857244,250,0,0.10033369,0
165,-191.207039,250,0,0.10033369,0
166,-48.026245,156,1,0.10033369,1
167,-81.910373,250,0,0.10033369,0
168,-98.599043,250,0,0.10033369,0
169,-69.070398,250,0,0.10033369,0
170,-114.349882,250,0,0.10033369,0
171,-116.683045,250,0,0.10033369,0
172,-71.138723,250,0,0.10033369,0
173,0.405966,59,1,0.10033369,1
174,-149.533354,250,0,0.10033369,0
175,-167.698808,250,0,0.10033369,0
176,-141.639123,250,0,0.10033369,0
177,-119.694633,250,0,0.10033369,0
178,-105.096529,250,0,0.10033369,0
179,-113.38895,250,0,0.10033369,0
180,-134.204359,250,0,0.10033369,0
181,-81.676093,250,0,0.10033369,0
182,-120.831859,250,0,0.10033369,0
183,-92.698933,250,0,0.10033369,0
184,25.093029,19,1,0.10033369,1
185,-113.030264,250,0,0.10033369,0
186,-78.577152,250,0,0.10033369,0
187,-122.772771,250,0,0.10033369,0
188,-22.911224,144,1,0.10033369,1
189,-103.28644,250,0,0.10033369,0
190,8.127741,68,1,0.10033369,1
191,-140.266647,250,0,0.10033369,0
192,-117.857828,250,0,0.10033369,0
193,26.136183,2,1,0.10033369,1
194,23.983053,17,1,0.10033369,2
195,-4.689687,147,1,0.10033369,3
196,-133.679742,250,0,0.10033369,0
197,-103.741519,250,0,0.10033369,0
198,-81.180306,250,0,0.10033369,0
199,23.725641,8,1,0.10033369,1
200,-88.72029,250,0,0.10033369,0
201,-165.407744,250,0,0.10033369,0
202,-81.431304,250,0,0.10033369,0
203,-132.334263,250,0,0.10033369,0
204,-218.31775,250,0,0.10033369,0
205,-61.608935,176,1,0.10033369,1
206,-147.765908,250,0,0.10033369,0
207,-77.503104,250,0,0.10033369,0
208,-147.369013,250,0,0.10033369,0
209,-117.686201,250,0,0.10033369,0
210,-80.124261,250,0,0.10033369,0
211,2.429254,109,1,0.10033369,1
212,-162.619037,250,0,0.10033369,0
213,-202.867267,250,0,0.10033369,0
214,-10.059917,97,1,0.10033369,1
215,-149.203941,250,0,0.10033369,0
216,-203.647645,250,0,0.10033369,0
217,-100.652017,250,0,0.10033369,0
218,-154.905113,250,0,0.10033369,0
219,-153.84503,250,0,0.10033369,0
220,-91.617129,250,0,0.10033369,0
221,23.584142,27,1,0.10033369,1
222,-87.392593,250,0,0.10033369,0
223,-164.602688,250,0,0.10033369,0
224,-159.165716,250,0,0.10033369,0
225,-85.220733,250,0,0.10033369,0
226,0.699558,92,1,0.10033369,1
227,-128.753865,250,0,0.10033369,0
228,-245.604322,250,0,0.10033369,0
229,-146.887716,250,0,0.10033369,0
230,-108.254869,250,0,0.10033369,0
231,-188.749528,250,0,0.10033369,0
232,24.264673,7,1,0.10033369,1
233,-77.764373,250,0,0.10033369,0
234,-193.525034,250,0,0.10033369,0
235,-9.638941,101,1,0.10033369,1
236,-130.463764,250,0,0.10033369,0
237,-75.889662,250,0,0.10033369,0
238,-90.582087,250,0,0.10033369,0
239,-90.218788,250,0,0.10033369,0
240,-113.026811,250,0,0.10033369,0
241,-140.226028,250,0,0.10033369,0
242,26.431005,7,1,0.10033369,1
243,-84.902696,250,0,0.10033369,0
244,25.056429,12,1,0.10033369,1
245,-103.741996,250,0,0.10033369,0
246,-68.572188,250,0,0.10033369,0
247,-176.488689,250,0,0.10033369,0
248,-111.426772,250,0,0.10033369,0
249,-74.885794,250,0,0.10033369,0
250,-121.862291,250,0,0.10033369,0
251,-162.767894,250,0,0.10033369,0
252,-97.244585,250,0,0.10033369,0
253,-32.421741,195,1,0.10033369,1
254,-81.518785,250,0,0.10033369,0
255,-116.603834,250,0,0.10033369,0
256,-180.93463,250,0,0.10033369,0
257,-167.161002,250,0,0.10033369,0
258,-132.723127,250,0,0.10033369,0
259,-197.043452,250,0,0.10033369,0
260,-102.385936,250,0,0.10033369,0
261,-86.915983,250,0,0.10033369,0
262,-13.496786,156,1,0.10033369,1
263,2.533216,58,1,0.10033369,2
264,-93.60703,250,0,0.10033369,0
265,-193.26733,250,0,0.10033369,0
266,-145.308806,250,0,0.10033369,0
267,-126.425797,250,0,0.10033369,0
268,-115.075725,250,0,0.10033369,0
269,-144.014275,250,0,0.10033369,0
270,-242.161637,250,0,0.10033369,0
271,-149.151229,250,0,0.10033369,0
272,-189.426214,250,0,0.10033369,0
273,-105.382048,250,0,0.10033369,0
274,-98.097711,250,0,0.10033369,0
275,-109.313626,250,0,0.10033369,0
276,24.776843,21,1,0.10033369,1
277,-75.41714,250,0,0.10033369,0
278,-58.112061,184,1,0.10033369,1
279,-100.20733,250,0,0.10033369,0
280,-132.537407,250,0,0.10033369,0
281,-148.124783,250,0,0.10033369,0
282,25.411314,1,1,0.10033369,1
283,-157.045489,250,0,0.10033369,0
284,-176.143058,250,0,0.10033369,0
285,-200.069371,250,0,0.10033369,0
286,16.846352,22,1,0.10033369,1
287,-139.441355,250,0,0.10033369,0
288,-106.973313,250,0,0.10033369,0
289,-152.996412,250,0,0.10033369,0
290,-73.249237,250,0,0.10033369,0
291,-86.823417,250,0,0.10033369,0
292,-138.516581,250,0,0.10033369,0
293,19.193456,46,1,0.10033369,1
294,-10.536426,167,1,0.10033369,2
295,18.409869,49,1,0.10033369,3
296,-158.669378,250,0,0.10033369,0
297,-95.630906,250,0,0.10033369,0
298,-195.442819,250,0,0.10033369,0
299,10.155272,58,1,0.10033369,1
300,-43.498898,235,1,0.10033369,2
301,-73.276239,250,0,0.10033369,0
302,-147.22286,250,0,0.10033369,0
303,-10.883072,125,1,0.10033369,1
304,-45.008921,159,1,0.10033369,2
305,-98.479827,250,0,0.10033369,0
