episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
39,2821.8003,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.00209984,0.5332942 ,0.96268237]"
40,889.081335,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.23916051, 0.4353784 , 1.1425533 ]"
41,817.892869,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.16539644,0.30930397,0.71505713]"
42,1250.330537,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.11083342,0.41698793,0.69259286]"
43,3320.019359,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.06588228, 0.5351846 , 0.8287918 ]"
44,1303.862526,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.03587027,0.47841355,1.1156987 ]"
45,482.836532,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.2886071 , 0.31891027, 1.2124654 ]"
46,1828.182873,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.00485518, 0.4883415 , 0.68121815]"
47,197.596931,7,1,0.148790967464447,1,"[ 2.0857    , 1.1699737 ,-1.3851724 ,-0.91022515, 0.69856113]","[0.00591259,0.46970206,0.7105358 ]"
48,486.518744,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.25806928,0.22689027,1.1156241 ]"
49,943.376653,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.20096152,0.3459046 ,0.97341704]"
50,115.37291,1,1,0.148790967464447,1,"[ 0.4314092 , 1.1121217 , 1.3624254 ,-0.98381895, 0.57933646]","[0.02940353,0.43400708,0.69704276]"
51,1479.902877,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.18194218, 0.48160726, 1.0568464 ]"
52,707.569569,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.23321769,0.3199548 ,1.0180851 ]"
53,1307.297072,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.18479526,0.4378071 ,0.91226244]"
