curriculum/radius,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.10360972,222.0142857142857,1,1403,11,-134.35511268571423,0.18571428571428572,16384,,,,,,,,,,,,,,
0.10360972,206.7,2,1002,32,-121.25142407,0.21,32768,0.0337158203125,0.3896896099223679,-0.013346139482746367,4.800980074331164,-7.114743033051491,10,1.0072962045669556,0.007119953632354736,2.0740044116973877,0.025433356,2.5081156860452307e-05,,,
0.10360972,218.22,3,909,54,-119.37513958999997,0.19,49152,0.04439697265625,0.3896896099223679,-0.016023711679008557,4.861174950562417,-7.142414846271277,20,1.0124000310897827,-0.09796679019927979,2.2497777938842773,0.029591609,2.5081156860452307e-05,,,
0.10360972,,,,,,False,50000,0.079852294921875,0.3896896099223679,-0.021778945568439668,3.0753378223627807,-7.168474196642637,30,1.0173814296722412,0.12395578622817993,1.2404983043670654,0.03563173,2.5081156860452307e-05,250.0,0.0,-317.53510275
0.10360972,221.06,4,801,81,-114.93613352,0.17,65536,,,,,,,,,,,,,,
0.10360972,191.11,5,791,103,-81.60926107,0.3,81920,0.072723388671875,0.3896896099223679,-0.02048513120826101,3.670877691730857,-7.191776183992625,40,1.022038459777832,-0.16633379459381104,1.1052124500274658,0.034845494,2.5081156860452307e-05,,,
0.10360972,189.19,6,784,125,-77.63978057,0.32,98304,0.0512451171875,0.3896896099223679,-0.01669198279741977,4.828826963528991,-7.216760315746069,50,1.0273072719573975,-0.0047234296798706055,4.350916862487793,0.030482963,2.5081156860452307e-05,,,
0.10360972,,,,,,False,100000,0.070306396484375,0.3896896099223679,-0.017196604825221583,5.106086334772408,-7.244388142973184,60,1.0333175659179688,-0.002452254295349121,1.7266881465911865,0.030358694,2.5081156860452307e-05,239.25,0.05,-66.91296255
0.10360972,186.77,7,751,152,-65.55736728,0.35,114688,,,,,,,,,,,,,,
0.10360972,184.89,8,754,173,-63.35703213,0.38,131072,0.061248779296875,0.3896896099223679,-0.016889953883583074,5.234290311485529,-7.270403503626585,70,1.0379064083099365,0.09735333919525146,3.92763614654541,0.027323961,2.5081156860452307e-05,,,
0.15541458,168.79,9,753,195,-51.840393160000005,0.49,147456,0.0716796875,0.3896896099223679,-0.019952699381974526,5.065948050096631,-7.290977157652378,80,1.0420948266983032,0.11161929368972778,0.5177909135818481,0.03306526,2.5081156860452307e-05,,,
0.15541458,,,,,,False,150000,0.054730224609375,0.3896896099223679,-0.011767447751299186,7.297323011234402,-7.313841838389635,90,1.0475586652755737,0.07496440410614014,4.499302387237549,0.02741262,2.5081156860452307e-05,226.75,0.1,-86.45043875000002
0.15541458,186.66,10,737,222,-55.36100081000001,0.38,163840,,,,,,,,,,,,,,
0.20721944,178.01,11,738,244,-47.74956584,0.49,180224,0.0431396484375,0.3896896099223679,-0.011125685753722792,4.933350921329111,-7.342298992723227,100,1.053885817527771,0.1009296178817749,1.166076898574829,0.019527664,2.5081156860452307e-05,,,
0.31082916,181.07,12,732,268,-49.10576283,0.44,196608,0.044921875,0.3896896099223679,-0.009800377940700855,6.570061598531902,-7.368763215094805,110,1.058953881263733,0.10867851972579956,9.510976791381836,0.021701112,2.5081156860452307e-05,,,
0.36263403,,,,,,True,200000,0.042333984375,0.3896896099223679,-0.010835837093418376,5.526452539488673,-7.394422468543053,120,1.0647004842758179,0.1418759822845459,4.73477840423584,0.023436725,2.5081156860452307e-05,214.9,0.15,-115.71369195
0.36263403,181.85,13,722,294,-61.31725614,0.45,212992,,,,,,,,,,,,,,
0.5180486,164.58,14,724,316,-41.384425359999994,0.54,229376,0.08310546875,0.3896896099223679,-0.01625672840364132,7.044169448874891,-7.419937460124492,130,1.070418119430542,-0.03957951068878174,6.515921592712402,0.03323457,2.5081156860452307e-05,,,
0.5180486,185.69,15,726,338,-58.44891844,0.42,245760,0.033258056640625,0.3896896099223679,-0.008026543224514172,7.487692193873227,-7.448229154199362,140,1.0763345956802368,0.11239790916442871,12.612466812133789,0.019791882,2.5081156860452307e-05,,,
0.5180486,,,,,,False,250000,0.054656982421875,0.3896896099223679,-0.01080417760204,5.25915615092963,-7.474049633741378,150,1.0816712379455566,0.18954592943191528,1.1043791770935059,0.02610481,2.5081156860452307e-05,217.95,0.15,-76.23742490000001
0.5180486,194.29,16,718,364,-65.25923009,0.35,262144,,,,,,,,,,,,,,
0.5180486,189.24,17,719,386,-54.8783223,0.42,278528,0.033038330078125,0.3896896099223679,-0.00889651607376436,5.215640559792519,-7.499334356188774,160,1.0873746871948242,0.24448412656784058,6.0157790184021,0.01896909,2.5081156860452307e-05,,,
0.5180486,178.49,18,721,408,-53.445041739999986,0.51,294912,0.05875244140625,0.3896896099223679,-0.012328052998782368,6.1276207331568004,-7.521682270616293,170,1.0915427207946777,0.24949496984481812,8.108826637268066,0.02503869,2.5081156860452307e-05,,,
0.5180486,,,,,,False,300000,0.04183349609375,0.3896896099223679,-0.008266135283884068,6.711617780290544,-7.542725408822298,180,1.0966064929962158,0.3221663236618042,2.4349253177642822,0.024514679,2.5081156860452307e-05,193.95,0.25,-60.158293750000006
0.5180486,158.8,19,714,435,-37.592247,0.56,311296,,,,,,,,,,,,,,
0.5180486,152.28,20,716,457,-38.64276606,0.58,327680,0.035101318359375,0.3896896099223679,-0.007874242691832479,8.201859142445027,-7.562902429699898,190,1.1007863283157349,0.1187017560005188,2.1308817863464355,0.019475386,2.5081156860452307e-05,,,
0.5180486,152.96,21,717,479,-46.64945398999999,0.57,344064,0.0377685546875,0.3896896099223679,-0.008027455113915494,8.123734718002378,-7.583669374883175,200,1.1054856777191162,0.21538853645324707,8.914691925048828,0.018295323,2.5081156860452307e-05,,,
0.5180486,,,,,,True,350000,0.0206787109375,0.3896896099223679,-0.002659345796382695,8.33644001558423,-7.60601673796773,210,1.1108834743499756,0.3205829858779907,5.619757175445557,0.012628093,2.5081156860452307e-05,193.65,0.25,-106.08323594999999
0.5180486,176.02,22,712,505,-44.321760729999994,0.5,360448,,,,,,,,,,,,,,
0.5180486,182.12,23,714,527,-54.244100100000004,0.42,376832,0.046051025390625,0.3896896099223679,-0.010424078512369307,5.744432918541134,-7.634106214344501,220,1.1174724102020264,0.3660210967063904,3.438093662261963,0.023528714,2.5081156860452307e-05,,,
0.5180486,158.84,24,715,549,-47.868066549999995,0.54,393216,0.03194580078125,0.3896896099223679,-0.006778187453164719,5.5952034566551445,-7.662697105109691,230,1.124260425567627,0.4022214412689209,2.9003725051879883,0.018186767,2.5081156860452307e-05,,,
0.5180486,,,,,,True,400000,0.02852783203125,0.3896896099223679,-0.0056837409700165155,8.058288843184709,-7.688847000151872,240,1.1292798519134521,0.37319231033325195,2.983557939529419,0.014332108,2.5081156860452307e-05,182.45,0.3,-80.56450285000001
0.5180486,141.99,25,710,576,-45.27866224,0.59,409600,,,,,,,,,,,,,,
0.5180486,152.69,26,711,598,-36.03057317,0.58,425984,0.0419921875,0.3896896099223679,-0.0066346461604553045,9.101984759420157,-7.712376696616412,250,1.135250449180603,0.3799985647201538,8.81828498840332,0.02041211,2.5081156860452307e-05,,,
0.5180486,144.57,27,708,624,-35.09388776,0.63,442368,0.039508056640625,0.3896896099223679,-0.006751972709025722,7.79567580409348,-7.738049022108316,260,1.1406805515289307,0.4456220865249634,8.222107887268066,0.021013588,2.5081156860452307e-05,,,
0.5180486,,,,,,False,450000,0.011798095703125,0.3896896099223679,-0.004210607590903237,9.218182438611985,-7.761903849989176,270,1.1462136507034302,0.39310407638549805,14.217507362365723,0.011348664,2.5081156860452307e-05,182.65,0.3,-68.75752695
0.5180486,150.77,28,705,650,-47.05495012999999,0.58,458752,,,,,,,,,,,,,,
0.5180486,144.87,29,706,672,-51.7908569,0.59,475136,0.028607177734375,0.3896896099223679,-0.005254462005905225,9.221369314193726,-7.783956893533468,280,1.1509159803390503,0.4309147000312805,8.144865036010742,0.017782886,2.5081156860452307e-05,,,
