episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes
1,-86.361726,250,0,0.10033369,0
2,-147.122245,250,0,0.10033369,0
3,-74.948142,250,0,0.10033369,0
4,-216.576397,250,0,0.10033369,0
5,-166.766084,250,0,0.10033369,0
6,-256.450075,250,0,0.10033369,0
7,-235.671735,250,0,0.10033369,0
8,-120.489455,250,0,0.10033369,0
9,23.639759,29,1,0.10033369,1
10,20.228766,39,1,0.10033369,2
11,-13.189772,81,1,0.10033369,3
1,-219.636616,250,0,0.10033369,0
2,-235.594583,250,0,0.10033369,0
3,-324.164557,250,0,0.10033369,0
4,-221.39085,250,0,0.10033369,0
5,-235.653437,250,0,0.10033369,0
6,-217.535718,250,0,0.10033369,0
7,-134.223075,250,0,0.10033369,0
8,-193.128579,250,0,0.10033369,0
9,-97.931195,250,0,0.10033369,0
10,-133.551005,250,0,0.10033369,0
11,-109.355125,250,0,0.10033369,0
12,-76.526555,250,0,0.10033369,0
13,-76.898077,250,0,0.10033369,0
14,-111.092617,250,0,0.10033369,0
15,-140.031605,250,0,0.10033369,0
16,-150.293709,250,0,0.10033369,0
17,26.246669,5,1,0.10033369,1
18,22.473469,37,1,0.10033369,2
19,-0.625579,114,1,0.10033369,3
20,-219.321447,250,0,0.10033369,0
21,-127.70802,250,0,0.10033369,0
22,-134.812486,250,0,0.10033369,0
23,-84.52041,250,0,0.10033369,0
24,-185.813874,250,0,0.10033369,0
25,-187.737303,250,0,0.10033369,0
26,25.465941,7,1,0.10033369,1
27,-173.251747,250,0,0.10033369,0
28,-167.916421,250,0,0.10033369,0
29,-87.088681,250,0,0.10033369,0
30,-91.557267,250,0,0.10033369,0
31,-100.501304,250,0,0.10033369,0
32,-103.281104,250,0,0.10033369,0
33,-163.524846,250,0,0.10033369,0
34,25.980681,4,1,0.10033369,1
35,-167.76534,250,0,0.10033369,0
36,-179.181899,250,0,0.10033369,0
37,-96.975005,250,0,0.10033369,0
38,-124.346653,250,0,0.10033369,0
39,-220.289027,250,0,0.10033369,0
40,-120.021321,250,0,0.10033369,0
41,-116.978005,250,0,0.10033369,0
42,-139.082705,250,0,0.10033369,0
43,-178.755418,250,0,0.10033369,0
44,23.065232,25,1,0.10033369,1
45,-152.343436,250,0,0.10033369,0
46,-125.182502,250,0,0.10033369,0
47,25.029357,1,1,0.10033369,1
48,-167.014222,250,0,0.10033369,0
49,-184.584728,250,0,0.10033369,0
50,-60.757839,250,0,0.10033369,0
51,-168.452403,250,0,0.10033369,0
52,25.597499,3,1,0.10033369,1
53,-158.24867,250,0,0.10033369,0
54,-105.594666,250,0,0.10033369,0
55,-91.977801,250,0,0.10033369,0
56,-79.507489,250,0,0.10033369,0
57,-32.273209,221,1,0.10033369,1
58,24.373418,1,1,0.10033369,2
59,-115.626841,250,0,0.10033369,0
60,-90.786909,250,0,0.10033369,0
61,21.02086,28,1,0.10033369,1
62,-99.200611,250,0,0.10033369,0
63,-84.791911,250,0,0.10033369,0
64,-140.558021,250,0,0.10033369,0
65,-145.789922,250,0,0.10033369,0
66,21.48468,19,1,0.10033369,1
67,17.109101,49,1,0.10033369,2
68,-96.38306,250,0,0.10033369,0
69,-150.562885,250,0,0.10033369,0
70,-141.257815,250,0,0.10033369,0
71,-102.549359,250,0,0.10033369,0
72,24.844643,2,1,0.10033369,1
73,-101.368427,250,0,0.10033369,0
74,-142.910826,250,0,0.10033369,0
75,23.822516,25,1,0.10033369,1
76,-170.513773,250,0,0.10033369,0
77,24.572504,16,1,0.10033369,1
78,-90.848522,250,0,0.10033369,0
79,-136.845705,250,0,0.10033369,0
80,-84.844555,250,0,0.10033369,0
81,-165.206359,250,0,0.10033369,0
82,-96.469231,250,0,0.10033369,0
83,-109.768122,250,0,0.10033369,0
84,-71.025214,250,0,0.10033369,0
85,-86.170301,250,0,0.10033369,0
86,-120.617357,250,0,0.10033369,0
87,-71.570013,250,0,0.10033369,0
88,-101.430614,250,0,0.10033369,0
89,-137.127912,250,0,0.10033369,0
90,-77.220435,250,0,0.10033369,0
91,-84.727473,250,0,0.10033369,0
92,-57.470514,250,0,0.10033369,0
93,22.127658,32,1,0.10033369,1
94,-83.504912,250,0,0.10033369,0
95,-51.583893,250,0,0.10033369,0
96,-95.093481,250,0,0.10033369,0
97,-3.443573,98,1,0.10033369,1
98,21.300542,43,1,0.10033369,2
99,-216.7893,250,0,0.10033369,0
100,-85.659708,250,0,0.10033369,0
101,-55.016405,250,0,0.10033369,0
102,7.1,109,1,0.10033369,1
103,-94.093011,250,0,0.10033369,0
104,21.647925,46,1,0.10033369,1
105,-163.6857,250,0,0.10033369,0
106,-23.675262,224,1,0.10033369,1
107,-76.145819,250,0,0.10033369,0
108,-58.368246,250,0,0.10033369,0
109,-114.151517,250,0,0.10033369,0
110,-99.533742,250,0,0.10033369,0
111,-147.257131,250,0,0.10033369,0
112,-88.634819,250,0,0.10033369,0
113,-135.944372,250,0,0.10033369,0
114,-100.546092,250,0,0.10033369,0
115,-135.172398,250,0,0.10033369,0
116,-174.407215,250,0,0.10033369,0
117,-56.030606,250,0,0.10033369,0
118,-85.515682,250,0,0.10033369,0
119,-79.839408,250,0,0.10033369,0
120,20.302631,39,1,0.10033369,1
121,-212.346828,250,0,0.10033369,0
122,-88.995951,250,0,0.10033369,0
123,-43.90534,250,0,0.10033369,0
124,24.273158,19,1,0.10033369,1
125,-81.905726,250,0,0.10033369,0
126,-99.125151,250,0,0.10033369,0
127,-91.689253,250,0,0.10033369,0
128,-98.695802,250,0,0.10033369,0
129,-110.005975,250,0,0.10033369,0
130,-106.768067,250,0,0.10033369,0
131,-100.821182,250,0,0.10033369,0
132,-85.311009,250,0,0.10033369,0
133,-121.254292,250,0,0.10033369,0
134,-59.525893,250,0,0.10033369,0
135,-77.65187,250,0,0.10033369,0
136,-69.125695,250,0,0.10033369,0
137,-84.147677,250,0,0.10033369,0
138,-74.726592,250,0,0.10033369,0
139,-117.836406,250,0,0.10033369,0
140,-112.805926,250,0,0.10033369,0
141,-97.434962,250,0,0.10033369,0
142,23.750543,26,1,0.10033369,1
143,-53.114449,250,0,0.10033369,0
144,-49.092008,250,0,0.10033369,0
145,-98.99984,250,0,0.10033369,0
146,-108.741403,250,0,0.10033369,0
147,-124.752911,250,0,0.10033369,0
148,-44.112725,250,0,0.10033369,0
149,-120.040811,250,0,0.10033369,0
150,7.761327,90,1,0.10033369,1
151,21.234882,9,1,0.10033369,2
152,-88.829298,250,0,0.10033369,0
153,-139.697918,250,0,0.10033369,0
154,-96.381567,250,0,0.10033369,0
155,26.048417,15,1,0.10033369,1
156,-95.3534,250,0,0.10033369,0
157,-85.011485,250,0,0.10033369,0
158,-108.318679,250,0,0.10033369,0
159,23.510676,29,1,0.10033369,1
160,-79.044358,250,0,0.10033369,0
161,-69.693404,250,0,0.10033369,0
162,-24.645926,215,1,0.10033369,1
163,26.220975,5,1,0.10033369,2
164,-85.074375,250,0,0.10033369,0
165,-73.821704,250,0,0.10033369,0
166,-74.940103,250,0,0.10033369,0
167,-51.819019,250,0,0.10033369,0
168,-60.000831,250,0,0.10033369,0
169,26.374322,5,1,0.10033369,1
170,-46.871,250,0,0.10033369,0
171,-111.855833,250,0,0.10033369,0
172,26.990647,6,1,0.10033369,1
173,-113.990677,250,0,0.10033369,0
174,4.855215,62,1,0.10033369,1
175,-89.726532,250,0,0.10033369,0
176,-26.436058,250,1,0.10033369,1
177,-97.949513,250,0,0.10033369,0
178,-93.655452,250,0,0.10033369,0
179,25.124924,2,1,0.10033369,1
180,21.710277,37,1,0.10033369,2
181,-142.792761,250,0,0.10033369,0
182,-62.04184,250,0,0.10033369,0
183,25.334736,8,1,0.10033369,1
184,-77.367382,250,0,0.10033369,0
185,-96.769881,250,0,0.10033369,0
186,-49.106804,250,0,0.10033369,0
187,-72.648383,250,0,0.10033369,0
188,-84.151682,250,0,0.10033369,0
189,-79.013507,250,0,0.10033369,0
190,-66.401248,250,0,0.10033369,0
191,25.116702,1,1,0.10033369,1
192,-48.816678,250,0,0.10033369,0
193,-68.563179,250,0,0.10033369,0
194,16.232581,60,1,0.10033369,1
195,-39.284169,250,0,0.10033369,0
196,-74.498932,250,0,0.10033369,0
197,-62.874325,250,0,0.10033369,0
198,-128.789887,250,0,0.10033369,0
199,-48.479088,250,0,0.10033369,0
200,-76.213819,250,0,0.10033369,0
201,-70.496423,250,0,0.10033369,0
202,25.395477,3,1,0.10033369,1
203,14.09423,63,1,0.10033369,2
204,-53.621552,250,0,0.10033369,0
205,-66.394214,250,0,0.10033369,0
206,-14.895456,191,1,0.10033369,1
207,-78.932532,250,0,0.10033369,0
208,-70.3066,250,0,0.10033369,0
209,20.712715,54,1,0.10033369,1
210,-62.214614,250,0,0.10033369,0
211,-45.775502,250,0,0.10033369,0
212,-107.903703,250,0,0.10033369,0
213,-16.804035,241,1,0.10033369,1
214,11.268549,83,1,0.10033369,2
215,-133.058939,250,0,0.10033369,0
216,-22.064035,243,1,0.10033369,1
217,-47.121431,250,0,0.10033369,0
218,-56.782211,250,0,0.10033369,0
219,-100.107914,250,0,0.10033369,0
220,-73.912085,250,0,0.10033369,0
221,-94.844851,250,0,0.10033369,0
222,-97.668478,250,0,0.10033369,0
223,-122.019795,250,0,0.10033369,0
224,-57.331465,250,0,0.10033369,0
225,-17.351406,216,1,0.10033369,1
226,-54.364405,250,0,0.10033369,0
227,-111.560523,250,0,0.10033369,0
228,-131.793986,250,0,0.10033369,0
229,-125.213825,250,0,0.10033369,0
230,-97.636774,250,0,0.10033369,0
231,25.045501,16,1,0.10033369,1
232,22.918789,43,1,0.10033369,2
233,-84.156373,250,0,0.10033369,0
234,-9.03593,218,1,0.10033369,1
235,14.778934,77,1,0.10033369,2
236,-159.951212,250,0,0.10033369,0
237,-57.070602,250,0,0.10033369,0
238,-84.375354,250,0,0.10033369,0
239,-64.911977,250,0,0.10033369,0
240,-85.163496,250,0,0.10033369,0
241,-60.339837,250,0,0.10033369,0
242,-73.750183,250,0,0.10033369,0
243,21.9259,46,1,0.10033369,1
244,-39.023326,250,0,0.10033369,0
245,1.658654,177,1,0.10033369,1
246,-161.526495,250,0,0.10033369,0
247,-50.996556,250,0,0.10033369,0
248,24.91047,1,1,0.10033369,1
249,-88.739133,250,0,0.10033369,0
