time/total_timesteps,rollout/success_rate,time/fps,curriculum/radius,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length,eval/success_rate
16384,0.24675324675324675,1577,0.10033369,200.88311688311688,10,1,-117.80180822077922,,,,,,,,,,,,,,
32768,0.18,1083,0.10033369,212.24,30,2,-117.25700063000001,-0.013154870411744924,2.5081156860452307e-05,0.3896896099223679,0.03121337890625,5.574040435999632,10,1.0077474117279053,-7.114965798705816,0.009074270725250244,2.335724353790283,0.023623766,,,
49152,0.21,961,0.15050054,206.61,51,3,-106.09388447999999,-0.012872556697038818,2.5081156860452307e-05,0.3896896099223679,0.02752685546875,4.033020855858922,20,1.01398503780365,-7.14776677787304,-0.08731198310852051,1.688862919807434,0.021787863,,,
50000,True,,0.15050054,,,,,-0.023043443729693535,2.5081156860452307e-05,0.3896896099223679,0.07503662109375,3.2250009486451745,30,1.0189714431762695,-7.176902171224356,0.1669093370437622,3.501692056655884,0.03673961,-123.21780840000001,250.0,0.0
65536,0.16,867,0.15050054,225.39,75,4,-106.38052326,,,,,,,,,,,,,,
81920,0.17,849,0.15050054,220.08,96,5,-94.82473791000002,-0.016967711595498258,2.5081156860452307e-05,0.3896896099223679,0.048187255859375,3.321432407386601,40,1.0239698886871338,-7.20099365785718,-0.05412280559539795,1.4485234022140503,0.026971972,,,
98304,0.26,823,0.15050054,199.7,119,6,-90.96790735999998,-0.025556736465296125,2.5081156860452307e-05,0.3896896099223679,0.1036865234375,3.115984527952969,50,1.0300401449203491,-7.228093800693751,0.10564559698104858,0.9067690372467041,0.03732197,,,
100000,False,,0.15050054,,,,,-0.02066719355971145,2.5081156860452307e-05,0.3896896099223679,0.089776611328125,4.163930570147931,60,1.0357271432876587,-7.256095875054598,-0.05590713024139404,4.642305374145508,0.03616349,-122.12354380000002,220.25,0.15
114688,0.26,798,0.15050054,203.78,143,7,-73.37893564,,,,,,,,,,,,,,
131072,0.21,797,0.15050054,217.08,164,8,-79.67979859,-0.009833605520543642,2.5081156860452307e-05,0.3896896099223679,0.02620849609375,3.859025012794882,70,1.0416414737701416,-7.285000114887953,0.060795724391937256,3.7908284664154053,0.015758805,,,
147456,0.38,797,0.20066738,188.82,184,9,-67.29461194999999,-0.023125794677253,2.5081156860452307e-05,0.3896896099223679,0.085205078125,3.145183552149683,80,1.0463802814483643,-7.310579140484333,0.21046561002731323,3.2618494033813477,0.034708023,,,
150000,True,,0.20066738,,,,,-0.019154776294817565,2.5081156860452307e-05,0.3896896099223679,0.098748779296875,5.525692500546574,90,1.0512176752090454,-7.332596247643233,0.006786823272705078,5.278357028961182,0.040833652,-104.14243409999999,204.75,0.2
163840,0.38,780,0.20066738,186.58,209,10,-60.83961113999999,,,,,,,,,,,,,,
180224,0.41,782,0.20066738,188.86,230,11,-57.884146440000016,-0.008581236389727565,2.5081156860452307e-05,0.3896896099223679,0.028033447265625,5.044865951314568,100,1.056325078010559,-7.356729381531477,0.13758575916290283,2.83376145362854,0.018387815,,,
196608,0.44,750,0.20066738,181.52,262,12,-52.73204183,-0.011838265295955353,2.5081156860452307e-05,0.3896896099223679,0.054425048828125,5.673166157118976,110,1.0605442523956299,-7.3782887645065784,0.08692926168441772,1.560720682144165,0.025079355,,,
200000,False,,0.20066738,,,,,-0.01060939779272303,2.5081156860452307e-05,0.3896896099223679,0.050250244140625,6.363899715058506,120,1.064671277999878,-7.39784096032381,0.047053515911102295,7.470333099365234,0.025163133,-64.2355384,237.9,0.05
212992,0.33,738,0.20066738,206.51,288,13,-63.57119585,,,,,,,,,,,,,,
229376,0.39,741,0.20066738,186.7,309,14,-65.41052795,-0.023943301330109534,2.5081156860452307e-05,0.3896896099223679,0.120721435546875,3.979321064054966,130,1.0706405639648438,-7.421921313554049,0.16047781705856323,0.9036167860031128,0.040598333,,,
245760,0.51,745,0.25083423,159.89,329,15,-39.73643661,-0.015230884233096731,2.5081156860452307e-05,0.3896896099223679,0.08258056640625,5.817952219769358,140,1.075149416923523,-7.445841079950332,0.17484790086746216,2.9554572105407715,0.03283886,,,
250000,False,,0.25083423,,,,,-0.008461199928933637,2.5081156860452307e-05,0.3896896099223679,0.055694580078125,7.140560601465404,150,1.0805983543395996,-7.468537782132626,0.1397905945777893,8.468074798583984,0.025637515,-42.86746915,215.3,0.15
262144,0.5,739,0.35116792,171.72,354,16,-44.34921882000001,,,,,,,,,,,,,,
278528,0.42,742,0.4515016,186.74,374,17,-67.42724355,-0.010808587062456354,2.5081156860452307e-05,0.3896896099223679,0.057415771484375,6.344321048259735,160,1.0862147808074951,-7.494910575449467,0.26659971475601196,8.217753410339355,0.024754072,,,
294912,0.4,743,0.4515016,190.21,396,18,-73.76061959,-0.009301678247538803,2.5081156860452307e-05,0.3896896099223679,0.048565673828125,6.225458818487823,170,1.091931939125061,-7.520212034881115,0.22504734992980957,1.4415082931518555,0.024710461,,,
300000,False,,0.4515016,,,,,-0.006646473430009792,2.5081156860452307e-05,0.3896896099223679,0.034417724609375,5.671115547791123,180,1.097860336303711,-7.5477521672844885,0.3888550400733948,2.232891321182251,0.016593711,-72.8284355,203.35,0.2
311296,0.44,734,0.4515016,183.96,423,19,-70.37232193000001,,,,,,,,,,,,,,
327680,0.51,738,0.50166845,174.91,443,20,-58.76124181000001,-0.007320927377077169,2.5081156860452307e-05,0.3896896099223679,0.039544677734375,6.444541247934103,190,1.1038448810577393,-7.573509376496077,0.28362733125686646,5.2568864822387695,0.018227234,,,
344064,0.45,740,0.50166845,181.33,464,21,-78.39988901,-0.00985110941765015,2.5081156860452307e-05,0.3896896099223679,0.03787841796875,6.739516321383417,200,1.1088100671768188,-7.5985978864133354,0.45380568504333496,4.1773576736450195,0.020423546,,,
350000,True,,0.50166845,,,,,-0.011226189840090228,2.5081156860452307e-05,0.3896896099223679,0.061956787109375,6.386524233967066,210,1.1142641305923462,-7.6218009918928145,0.4525156021118164,4.36717414855957,0.022455417,-45.61352960000001,169.1,0.35
360448,0.52,737,0.50166845,171.11,488,22,-56.88373218999998,,,,,,,,,,,,,,
