time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,train/ent_coef,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/radius,eval/success_rate,eval/mean_reward,eval/mean_ep_length
220,4,0.501115471124649,120,-7.957401156425476,-0.15493187308311462,9,0.0001569639638866114,2000,0.9817140251398087,0.0,250.0,-179.27258312499998,0.10360972,,,
219,8,,,,,9,,2000,,0.0,250.0,-179.27258312499998,,,,
218,12,0.5676266252994537,244,-12.562942743301392,-0.3166779801249504,18,0.0001569639638866114,4000,0.9628345221281052,0.11764705882352941,224.47058823529412,-138.14288447058823,0.10360972,,,
218,16,,,,,18,,4000,,0.11764705882352941,224.47058823529412,-138.14288447058823,,,,
216,20,0.48132650554180145,368,-17.18933343887329,-0.4769400656223297,27,0.0001569639638866114,6000,0.944354385137558,0.12,223.76,-121.10507003999999,0.10360972,,,
216,24,,,,,27,,6000,,0.12,223.76,-121.10507003999999,,,,
215,28,0.5874840095639229,384,-17.693063259124756,-0.4976576492190361,28,0.0001569639638866114,6224,0.9419976621866226,0.20689655172413793,202.86206896551724,-107.81781713793104,0.10360972,,,
217,32,0.6216547638177872,424,-19.11644458770752,-0.5488424003124237,31,0.0001569639638866114,6904,0.936131089925766,0.25,195.78125,-101.23434062499999,0.10360972,,,
216,36,0.5288131535053253,500,-21.764745712280273,-0.6474411338567734,37,0.0001569639638866114,8080,0.9250838905572891,0.2222222222222222,201.80555555555554,-100.82993708333332,0.10360972,,,
215,40,0.4876229390501976,536,-22.922606945037842,-0.6928559243679047,40,0.0001569639638866114,8680,0.9198954254388809,0.225,202.475,-97.84281282500001,0.10360972,,,
216,44,0.47903942316770554,620,-25.80031681060791,-0.8037286698818207,46,0.0001569639638866114,10000,0.9078904986381531,0.24444444444444444,198.9777777777778,-93.21000264444444,0.10360972,,,
216,48,0.45958712697029114,632,-26.21324920654297,-0.8186305165290833,47,0.0001569639638866114,10224,0.9061872810125351,0.22916666666666666,202.16666666666666,-92.0817791875,0.10360972,,,
215,52,0.38650326430797577,744,-30.058323860168457,-0.9671001136302948,55,0.0001569639638866114,12000,0.8904175460338593,0.20754716981132076,206.67924528301887,-94.88443288679245,0.10360972,,,
215,56,0.4170949086546898,756,-30.520273685455322,-0.9859077036380768,56,0.0001569639638866114,12224,0.8887435793876648,0.19642857142857142,209.0,-96.16053566071427,0.10360972,,,
203,60,0.3610132336616516,840,-32.926913261413574,-1.0946718752384186,66,0.0001569639638866114,13520,0.8770902901887894,0.2,208.31666666666666,-94.84064355,0.10360972,,,
200,64,0.3331422954797745,884,-34.27038860321045,-1.1549331843852997,70,0.0001569639638866114,14224,0.871040865778923,0.1875,210.921875,-96.23973684375,0.10360972,,,
194,68,0.4253423810005188,964,-36.45328617095947,-1.2623529136180878,79,0.0001569639638866114,15520,0.8601361811161041,0.17647058823529413,213.22058823529412,-96.37454480882352,0.10360972,,,
188,72,0.30484025180339813,1008,-37.736992835998535,-1.3195965588092804,86,0.0001569639638866114,16224,0.8541935682296753,0.18055555555555555,214.97222222222223,-96.59319425,0.10360972,,,
183,76,0.4973704144358635,1052,-38.85122108459473,-1.380608320236206,92,0.0001569639638866114,16904,0.848293662071228,0.18421052631578946,213.67105263157896,-98.06031344736842,0.10360972,,,
180,80,0.5742892026901245,1120,-40.78816795349121,-1.4715852439403534,99,0.0001569639638866114,18000,0.8392511308193207,0.2,211.35,-95.905983875,0.10360972,,,
180,84,0.6651360243558884,1156,-41.635498046875,-1.5137130320072174,103,0.0001569639638866114,18624,0.8345038145780563,0.20238095238095238,210.8095238095238,-95.02367017857144,0.10360972,,,
179,88,0.6498982384800911,1224,-43.34263896942139,-1.6080491840839386,109,0.0001569639638866114,19688,0.8256118446588516,0.19318181818181818,212.5909090909091,-96.94703213636363,0.10360972,,,
176,92,0.39448753744363785,1248,-43.877668380737305,-1.6420290768146515,113,0.0001569639638866114,20080,0.8224962204694748,0.1956521739130435,211.92391304347825,-96.59435894565216,0.10360972,,,
176,96,0.7681790664792061,1308,-45.41718292236328,-1.7202253937721252,119,0.0001569639638866114,21016,0.8147622346878052,0.19791666666666666,210.98958333333334,-94.98087666666667,0.10360972,,,
176,100,0.5637120008468628,1364,-46.68826675415039,-1.793418675661087,124,0.0001569639638866114,21920,0.8076065331697464,0.21,209.55,-93.73585968000002,0.10360972,,,
175,104,0.6541459485888481,1372,-46.79768943786621,-1.801236093044281,125,0.0001569639638866114,22080,0.8065900653600693,0.22,207.22,-90.44807177000001,0.10360972,,,
175,108,0.7398323267698288,1432,-48.199339866638184,-1.881129890680313,131,0.0001569639638866114,23016,0.7990096211433411,0.25,199.93,-83.29680984999999,0.10360972,,,
175,112,0.6572312563657761,1492,-49.38176727294922,-1.96317520737648,136,0.0001569639638866114,23968,0.7915026396512985,0.23,204.27,-85.12559725,0.10360972,,,
175,116,1.078766718506813,1540,-50.40768527984619,-2.029666841030121,140,0.0001569639638866114,24728,0.7855458110570908,0.24,202.72,-82.22083436000001,0.10360972,,,
175,120,0.8692106008529663,1600,-51.614869117736816,-2.104834198951721,146,0.0001569639638866114,25688,0.7781657874584198,0.25,202.49,-81.06361804,0.10360972,,,
174,124,1.2503666430711746,1628,-52.14584255218506,-2.138216972351074,149,0.0001569639638866114,26120,0.774747759103775,0.25,202.49,-81.94464263,0.10360972,,,
