time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,train/ent_coef,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/radius,eval/success_rate,eval/mean_reward,eval/mean_ep_length
193,4,1.9611960649490356,120,-5.842575430870056,-0.0711766742169857,10,7.309539835912905e-05,2000,0.9915798306465149,0.0,250.0,-184.51674524999999,0.10360972,,,
192,8,,,,,10,,2000,,0.0,250.0,-184.51674524999999,,,,
192,12,0.9120678305625916,248,-11.26878833770752,-0.14893188513815403,20,7.309539835912905e-05,4000,0.9823535233736038,0.0625,241.875,-154.370006125,0.10360972,,,
192,16,,,,,20,,4000,,0.0625,241.875,-154.370006125,,,,
192,20,0.745613306760788,368,-16.366675853729248,-0.2214023694396019,31,7.309539835912905e-05,6000,0.9738088399171829,0.12,226.44,-131.40431636,0.10360972,,,
192,24,,,,,31,,6000,,0.12,226.44,-131.40431636,,,,
190,28,0.8456894382834435,376,-16.68313241004944,-0.22580830194056034,31,7.309539835912905e-05,6048,0.9732423946261406,0.21428571428571427,202.42857142857142,-114.60351457142858,0.10360972,,,
196,32,0.8421401605010033,496,-21.12412977218628,-0.2970702424645424,40,7.309539835912905e-05,8000,0.9648089185357094,0.17647058823529413,210.8235294117647,-113.92201314705882,0.10360972,,,
197,36,,,,,40,,8048,,0.16666666666666666,213.0,-115.39511083333335,0.10360972,,,
198,40,0.8622621521353722,624,-24.32672905921936,-0.37209343165159225,50,7.309539835912905e-05,10000,0.9559144228696823,0.16279069767441862,215.58139534883722,-114.88194516279071,0.10360972,,,
198,44,,,,,50,,10048,,0.1590909090909091,216.36363636363637,-113.87973522727275,0.10360972,,,
199,48,0.8958773985505104,680,-25.4699547290802,-0.404582429677248,54,7.309539835912905e-05,10976,0.952052891254425,0.16666666666666666,214.29166666666666,-110.44740652083334,0.10360972,,,
199,52,0.8360010236501694,744,-26.663818359375,-0.4424216076731682,60,7.309539835912905e-05,12000,0.9476544409990311,0.20754716981132076,208.79245283018867,-105.3335076037736,0.10360972,,,
198,56,0.8826049119234085,760,-26.891944885253906,-0.45211054012179375,61,7.309539835912905e-05,12200,0.946557030081749,0.21428571428571427,206.69642857142858,-102.24876755357143,0.10360972,,,
198,60,0.8510040566325188,840,-27.81698513031006,-0.499678373336792,67,7.309539835912905e-05,13520,0.9410834088921547,0.21666666666666667,207.66666666666666,-101.13042786666666,0.10360972,,,
199,64,0.8153095319867134,872,-28.213931798934937,-0.5190429463982582,70,7.309539835912905e-05,14032,0.938900776207447,0.234375,205.59375,-99.93935334375001,0.10360972,,,
199,68,0.8063421174883842,920,-28.481852531433105,-0.5470384582877159,74,7.309539835912905e-05,14832,0.935631550848484,0.23529411764705882,206.61764705882354,-99.93103511764707,0.10360972,,,
200,72,0.8358769118785858,1000,-28.995688438415527,-0.5969610661268234,80,7.309539835912905e-05,16032,0.9302032366394997,0.2222222222222222,209.02777777777777,-100.86720915277778,0.10360972,,,
201,76,0.742552787065506,1048,-29.226918697357178,-0.6264020055532455,83,7.309539835912905e-05,16824,0.9269569963216782,0.2236842105263158,208.35526315789474,-101.18723621052632,0.10360972,,,
201,80,0.7084896042943001,1088,-29.385138273239136,-0.6501272469758987,87,7.309539835912905e-05,17520,0.9242559149861336,0.225,208.325,-99.415333325,0.10360972,,,
