number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,params_vf_coef,state
0,-31.78219223022461,2025-06-20 09:54:39.815874,2025-06-20 10:22:49.178789,0 days 00:28:09.362915,128,0.2803345035229627,0.011567327199145964,0.8110358863119579,0.9155838525815867,5.6115164153345e-05,256,0.737265320016441,COMPLETE
1,-53.46058654785156,2025-06-20 10:22:49.180792,2025-06-20 10:45:19.546584,0 days 00:22:30.365792,256,0.14184815819561256,0.00019185373703841887,0.855333536637628,0.9431513073623474,2.6587543983272695e-05,2048,0.3629301836816964,COMPLETE
2,-44.891727447509766,2025-06-20 10:45:19.548114,2025-06-20 11:08:33.144547,0 days 00:23:13.596433,256,0.3896896099223679,0.04387314432435398,0.8123598026672032,0.9170353599563604,2.5081156860452307e-05,2048,0.827557613304815,COMPLETE
3,-10.97317123413086,2025-06-20 11:08:33.144547,2025-06-20 11:37:44.729963,0 days 00:29:11.585416,128,0.2560204063533433,1.5204688692198897e-06,0.9258792340272566,0.9258521201618417,7.591104805282687e-05,2048,0.5920392514089517,COMPLETE
