number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_gradient_steps,params_learning_rate,params_tau,params_train_freq,state
0,-0.2186480313539505,2025-06-20 00:40:03.765518,2025-06-20 03:55:13.329372,0 days 03:15:09.563854,128,100000,0.9600513896731466,16,5.6115164153345e-05,0.04397792655987209,8,COMPLETE
1,11.155170440673828,2025-06-20 03:55:13.342170,2025-06-20 05:25:02.038574,0 days 01:29:48.696404,512,300000,0.9199474108376201,8,7.309539835912905e-05,0.04033291826268561,16,COMPLETE
2,18.295637130737305,2025-06-20 05:25:02.041015,2025-06-20 07:04:27.674121,0 days 01:39:25.633106,256,300000,0.9258521201618417,1,4.066563313514796e-05,0.045919418093545196,1,COMPLETE
3,5.108262062072754,2025-06-20 07:04:27.674121,2025-06-20 08:18:27.187484,0 days 01:13:59.513363,512,100000,0.9827908771642777,4,0.0001569639638866114,0.017210706429825317,8,COMPLETE
