#{"t_start": 1749250855.2515876, "env_id": "None"}
r,l,t
2238.326674,250,9.544343
2278.992584,250,11.34425
1348.413611,123,12.097056
214.424623,8,12.145944
1839.651074,250,13.7298
2047.989971,250,16.581887
1795.766178,250,18.046446
1492.513609,250,19.553599
898.114212,250,21.108899
2528.190148,250,23.974814
2794.382688,250,25.565375
1329.391894,250,27.089534
115.017136,1,27.098069
2517.209847,250,28.640721
1666.912251,250,31.59218
1667.114822,250,33.308335
2754.823313,250,34.90637
1217.541565,250,36.562372
1427.70354,250,39.529004
950.142398,250,41.282285
413.255337,24,41.419349
1582.998278,250,43.109691
1327.383843,250,44.830032
1822.068025,250,47.965684
2204.94179,250,49.466695
1079.289783,250,51.069492
884.374874,250,52.816189
2111.63713,250,60.412221
1562.581432,250,66.051523
985.861807,250,72.674333
1667.782875,250,76.048947
918.424936,66,77.712622
2468.391703,250,85.833987
2487.046681,250,87.797389
2295.931386,250,89.961272
2200.028371,250,91.899522
1757.012367,250,96.541825
1138.432837,250,99.180608
222.90303,9,99.258142
1689.945839,250,101.430261
760.466121,250,103.475652
1988.175377,250,107.720608
1410.653282,250,112.054018
1768.280012,250,116.69266
641.734252,46,117.254842
1496.708826,250,119.744019
1666.880959,250,123.418881
2685.401025,239,125.491282
1143.526276,94,126.388667
2433.645449,250,129.485056
1180.484388,250,132.005865
1008.482763,95,132.823061
2257.962418,250,137.169624
2193.818224,250,139.82693
1891.502901,250,142.507154
2721.781373,250,145.140482
1904.870657,250,149.569919
480.507715,28,149.853649
2786.719188,250,152.135766
1615.3703,250,154.360321
1211.942804,250,157.767093
2529.915348,250,163.53478
1835.138852,250,166.236212
1057.291035,76,166.996518
2223.389972,250,169.84702
131.229776,2,169.873712
1468.832401,250,172.534851
1208.090899,250,177.208135
1702.307014,250,180.055357
1758.276392,250,182.968331
1351.48838,250,185.952627
1620.508662,250,191.464697
2026.813419,250,193.982449
1468.781854,250,196.962045
1585.338826,250,199.464819
1496.40897,118,202.624341
975.953834,250,205.294626
1843.829016,250,208.068994
2095.558372,250,210.653621
2199.260653,250,215.194329
2871.003564,242,218.309603
1806.696647,250,220.971884
1782.993633,250,223.608088
1512.148858,250,226.214456
1392.291493,250,230.787818
1472.93168,250,233.233244
2064.614617,250,235.914154
1655.861306,250,238.435734
2551.622811,250,242.842258
1811.107778,250,245.900174
2262.372234,250,249.061981
227.79952,9,249.168017
1337.225161,107,250.218515
2409.114453,250,254.814768
320.47765,20,255.012631
1125.034217,250,257.561808
2217.11045,250,260.165594
173.610662,5,260.226879
503.248466,31,260.541389
1189.218775,250,263.088015
159.865878,4,263.134493
2397.153522,250,267.895657
1585.360273,132,269.088796
1278.971961,250,271.288422
1674.465828,250,274.058949
1449.403398,250,277.049471
1236.409609,89,280.392306
2652.755575,250,283.139989
1070.692729,250,285.698463
2742.24916,199,287.940393
2011.25964,250,290.513776
1467.373225,250,295.404471
1339.980981,250,298.011783
2195.159683,250,300.689676
1713.143889,160,302.61267
2319.291236,250,308.234182
1503.503768,250,310.980114
129.517702,2,311.023686
687.502414,55,311.479939
2049.90102,250,313.678156
