#{"t_start": 1749380779.2427382, "env_id": "None"}
r,l,t
1519.091034,250,11.111815
1166.214943,250,20.598861
775.330828,250,30.314521
599.94592,250,39.862263
541.211603,250,49.532729
475.011488,250,59.236238
1878.271454,250,68.94112
244.916637,250,78.575879
963.476928,250,88.463991
1069.381379,250,98.038844
1022.192148,250,107.909968
1265.844855,250,117.826274
1260.702163,250,127.784654
634.477975,250,138.410564
759.9882,250,149.778557
828.94053,250,159.452275
658.028931,250,170.26843
2746.158336,250,180.069139
1892.073734,250,189.687992
1486.370824,250,199.430986
1266.782166,250,209.171057
778.574673,250,218.928711
947.812269,250,229.280191
1159.553551,250,239.297457
1535.753446,250,249.155377
941.906394,250,258.903558
2192.465176,250,269.006474
1392.67563,250,279.141253
1718.091347,250,289.410311
781.295555,250,299.808169
1727.240436,250,310.372147
951.743759,250,321.156918
3058.938579,250,331.256147
808.9999,250,340.891484
1417.228456,250,350.668548
1365.919124,250,360.579876
1683.449031,250,370.396066
1424.46191,250,381.001882
732.446504,250,390.930786
747.851544,250,401.338709
1468.815272,250,411.524094
1302.690123,250,421.467653
1090.310472,250,431.113777
867.505161,250,441.544107
1331.953237,250,456.34567
1049.734666,250,467.668248
306.79692,16,468.366234
896.595889,250,478.312464
909.898228,250,489.13565
754.571268,250,498.947707
497.810395,250,508.896406
929.435199,250,518.992775
397.778455,250,528.914856
918.085889,250,539.787152
1494.118834,250,550.659419
2005.524837,250,562.112702
1609.467881,250,572.389533
1559.741826,250,582.017212
2398.682573,250,591.601911
634.239846,250,601.627678
2264.40839,250,611.270072
317.649387,18,612.051264
1193.819555,250,621.798892
2026.875137,250,631.629246
1260.51887,250,641.464041
664.556855,250,651.323736
1315.517046,250,661.24619
1026.686008,250,671.067528
646.783782,250,680.870631
1925.833368,250,690.849764
899.318208,250,700.891467
130.678961,2,700.969988
772.545099,250,710.741143
326.194673,20,711.506387
2908.264546,250,721.822076
1044.687441,250,733.630756
1253.913689,250,745.885296
1312.549253,250,757.988236
822.185086,250,769.94258
403.28778,250,781.86626
415.59641,250,794.375712
1849.907714,250,806.21554
634.639575,250,818.462539
1703.854635,250,830.961412
1569.463033,250,843.067467
960.542846,250,854.814639
1701.810522,250,866.719562
1291.731075,250,878.259284
628.764701,250,890.082772
1131.005785,250,902.3423
2923.618982,250,914.7323
495.532466,250,926.581288
849.35161,250,938.675071
3503.688432,250,950.210129
2811.443126,250,961.482323
1003.390217,250,972.87691
655.349371,250,984.627621
972.258175,250,995.44348
1583.038669,250,1005.511567
1215.859853,250,1015.315323
1732.45874,250,1025.62626
1207.291851,250,1035.830261
1627.579228,250,1046.116857
834.458862,250,1056.339706
601.321815,250,1066.353218
