number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,params_vf_coef,state
0,-18.27565574645996,2025-06-18 23:35:08.591709,2025-06-19 00:06:20.920419,0 days 00:31:12.328710,128,0.2803345035229627,0.011567327199145964,0.8110358863119579,0.9155838525815867,5.6115164153345e-05,256,0.737265320016441,COMPLETE
1,-39.8880729675293,2025-06-19 00:06:20.920419,2025-06-19 00:31:22.023054,0 days 00:25:01.102635,256,0.14184815819561256,0.00019185373703841887,0.855333536637628,0.9431513073623474,2.6587543983272695e-05,2048,0.3629301836816964,COMPLETE
2,-44.327674865722656,2025-06-19 00:31:22.023054,2025-06-19 00:55:49.919221,0 days 00:24:27.896167,256,0.3896896099223679,0.04387314432435398,0.8123598026672032,0.9170353599563604,2.5081156860452307e-05,2048,0.827557613304815,COMPLETE
3,-16.07423210144043,2025-06-19 00:55:49.929011,2025-06-19 01:26:54.816441,0 days 00:31:04.887430,128,0.2560204063533433,1.5204688692198897e-06,0.9258792340272566,0.9258521201618417,7.591104805282687e-05,2048,0.5920392514089517,COMPLETE
