rollout/ep_rew_mean,rollout/success_rate,train/ent_coef,train/critic_loss,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
1015.14568125,0.0,1.2499123513975974e-08,42.760765075683594,35,-32.49188995361328,250.0,899,1000,2.4385865138709876e-05,27,4,,,
899.999238375,0.0,1.2499123513975974e-08,33.845619201660156,74,-114.99966430664062,250.0,1899,2000,2.4385865138709876e-05,26,8,,,
960.0741014166666,0.0,1.2499123513975974e-08,16.738330841064453,113,-205.92527770996094,250.0,2899,3000,2.4385865138709876e-05,26,12,,,
937.8123803125,0.0,1.2499123513975974e-08,15.773658752441406,155,-256.1847229003906,250.0,3899,4000,2.4385865138709876e-05,25,16,,,
1089.3814955000003,0.0,1.2499123513975974e-08,20.196002960205078,195,-289.6880187988281,250.0,4899,5000,2.4385865138709876e-05,25,20,,,
1080.8480237083334,0.0,1.2499123513975974e-08,8.067034721374512,235,-324.7244567871094,250.0,5899,6000,2.4385865138709876e-05,25,24,,,
1142.9697576785716,0.0,1.2499123513975974e-08,7.780819892883301,275,-340.26806640625,250.0,6899,7000,2.4385865138709876e-05,25,28,,,
1161.92263475,0.0,1.2499123513975974e-08,9.831266403198242,317,-354.57830810546875,250.0,7899,8000,2.4385865138709876e-05,25,32,,,
1217.5725103055556,0.0,1.2499123513975974e-08,9.200315475463867,356,-361.39532470703125,250.0,8899,9000,2.4385865138709876e-05,25,36,,,
1210.5204840000001,0.0,1.2499123513975974e-08,8.683913230895996,397,-362.5098876953125,250.0,9899,10000,2.4385865138709876e-05,25,40,,,
1207.957736090909,0.0,1.2499123513975974e-08,8.108254432678223,437,-360.68560791015625,250.0,10899,11000,2.4385865138709876e-05,25,44,,,
1181.9837729166666,0.020833333333333332,1.2499123513975974e-08,6.674870014190674,474,-350.6772155761719,245.125,11665,11766,2.4385865138709876e-05,24,48,,,
1150.518003653846,0.019230769230769232,1.2499123513975974e-08,5.31809663772583,515,-346.09051513671875,245.5,12665,12766,2.4385865138709876e-05,24,52,,,
1154.3293608035713,0.017857142857142856,1.2499123513975974e-08,7.3685197830200195,558,-346.7309875488281,245.82142857142858,13665,13766,2.4385865138709876e-05,24,56,,,
1180.7429388499997,0.016666666666666666,1.2499123513975974e-08,8.044840812683105,597,-337.75,246.1,14665,14766,2.4385865138709876e-05,24,60,,,
1197.6145124999998,0.03125,1.2499123513975974e-08,6.331925392150879,627,-343.25701904296875,242.71875,15433,15534,2.4385865138709876e-05,24,64,,,
1189.9206996911762,0.029411764705882353,1.2499123513975974e-08,6.2124481201171875,667,-342.47119140625,243.14705882352942,16433,16534,2.4385865138709876e-05,24,68,,,
1173.850304138889,0.041666666666666664,1.2499123513975974e-08,6.725560665130615,696,-337.8791198730469,240.08333333333334,17185,17286,2.4385865138709876e-05,24,72,,,
1178.5383375921053,0.05263157894736842,1.2499123513975974e-08,6.515191555023193,729,-340.1527404785156,237.57894736842104,17955,18056,2.4385865138709876e-05,24,76,,,
1167.0106183125001,0.05,1.2499123513975974e-08,4.958098888397217,777,-343.27813720703125,238.2,18955,19056,2.4385865138709876e-05,24,80,,,
1166.2481880833334,0.047619047619047616,1.2499123513975974e-08,6.732617378234863,826,-347.6612548828125,238.76190476190476,19955,20056,2.4385865138709876e-05,24,84,,,
1176.0044917613636,0.045454545454545456,1.2499123513975974e-08,6.0622053146362305,874,-338.9241943359375,239.27272727272728,20955,21056,2.4385865138709876e-05,24,88,,,
1181.166491402174,0.043478260869565216,1.2499123513975974e-08,7.702884674072266,922,-331.0206298828125,239.7391304347826,21955,22056,2.4385865138709876e-05,23,92,,,
1217.0332353541667,0.041666666666666664,1.2499123513975974e-08,7.914834499359131,968,-341.8697509765625,240.16666666666666,22955,23056,2.4385865138709876e-05,23,96,,,
1212.61696662,0.04,1.2499123513975974e-08,8.092878341674805,1011,-350.0253601074219,240.56,23955,24056,2.4385865138709876e-05,23,100,,,
1226.02902618,0.04,1.2499123513975974e-08,61.99964904785156,1052,-441.00579833984375,240.56,24955,25056,2.4385865138709876e-05,23,104,,,
1228.3447127800002,0.04,1.2499123513975974e-08,15.966985702514648,1093,-438.36669921875,240.56,25955,26056,2.4385865138709876e-05,23,108,,,
1211.0903152600001,0.04,1.2499123513975974e-08,10.402957916259766,1135,-388.94927978515625,240.56,26955,27056,2.4385865138709876e-05,23,112,,,
1208.12704209,0.04,1.2499123513975974e-08,7.939235687255859,1175,-338.7288513183594,240.56,27955,28056,2.4385865138709876e-05,23,116,,,
1196.76618619,0.04,1.2499123513975974e-08,7.113712310791016,1216,-320.5003356933594,240.56,28955,29056,2.4385865138709876e-05,23,120,,,
1201.40369963,0.04,1.2499123513975974e-08,6.334617614746094,1257,-330.6379089355469,240.56,29955,30056,2.4385865138709876e-05,23,124,,,
1206.33922987,0.04,1.2499123513975974e-08,7.518282890319824,1297,-413.9468078613281,240.56,30955,31056,2.4385865138709876e-05,23,128,,,
1199.65803447,0.04,1.2499123513975974e-08,7.592899322509766,1337,-455.3835144042969,240.56,31955,32056,2.4385865138709876e-05,23,132,,,
1170.59807361,0.04,1.2499123513975974e-08,6.8555145263671875,1378,-472.12115478515625,240.56,32955,33056,2.4385865138709876e-05,23,136,,,
1200.2682807400001,0.04,1.2499123513975974e-08,8.152453422546387,1418,-501.56640625,240.56,33955,34056,2.4385865138709876e-05,24,140,,,
