train/n_updates,rollout/ep_len_mean,rollout/success_rate,train/ent_coef_loss,train/learning_rate,curriculum/radius,time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/ent_coef,eval/mean_ep_length,eval/mean_reward,eval/success_rate
120,250.0,0.0,-0.15500101447105408,0.0001569639638866114,0.10033369,4,-8.296724081039429,0.35873326659202576,-177.60622337499998,8,246,2000,0.9817155450582504,,,
,250.0,0.0,,,,8,,,-177.60622337499998,8,245,2000,,,,
244,236.9375,0.0625,-0.3167242333292961,0.0001569639638866114,0.10033369,12,-12.768692255020142,0.4338013231754303,-140.0882531875,16,244,4000,0.9628274291753769,,,
,236.9375,0.0625,,,,16,,,-140.0882531875,16,244,4000,,,,
368,231.8,0.08,-0.4783030077815056,0.0001569639638866114,0.10033369,20,-17.255224227905273,0.45002972334623337,-122.31179067999997,24,244,6000,0.9443316906690598,,,
,231.8,0.08,,,,24,,,-122.31179067999997,24,244,6000,,,,
492,236.21212121212122,0.06060606060606061,-0.6380461901426315,0.0001569639638866114,0.10033369,28,-21.244351387023926,0.5425153523683548,-121.67942581818181,33,240,8000,0.926214188337326,,,
,236.21212121212122,0.06060606060606061,,,,32,,,-121.67942581818181,33,240,8000,,,,
516,223.58333333333334,0.1111111111111111,-0.6678138077259064,0.0001569639638866114,0.10033369,36,-21.99136209487915,0.5153477489948273,-112.5209178611111,34,240,8384,0.9227502942085266,,,
620,227.35714285714286,0.09523809523809523,-0.8016609251499176,0.0001569639638866114,0.10033369,40,-25.689408779144287,0.4724588394165039,-111.19930090476188,41,240,10000,0.9078825116157532,,,
624,222.88636363636363,0.11363636363636363,-0.8092203438282013,0.0001569639638866114,0.10033369,44,-25.665584087371826,0.474105142056942,-107.50524047727272,41,240,10072,0.9073152989149094,,,
676,212.45833333333334,0.16666666666666666,-0.8790744841098785,0.0001569639638866114,0.10033369,48,-27.56696605682373,0.4407297298312187,-99.01831687499998,45,240,10920,0.8999658972024918,,,
744,215.34615384615384,0.15384615384615385,-0.9666909277439117,0.0001569639638866114,0.10033369,52,-29.68046283721924,0.4275199994444847,-96.10672494230768,49,240,12000,0.8904323130846024,,,
768,213.73214285714286,0.16071428571428573,-0.9954804927110672,0.0001569639638866114,0.10033369,56,-30.531046867370605,0.41879211366176605,-96.01129601785715,51,240,12384,0.8870881050825119,,,
868,213.2258064516129,0.16129032258064516,-1.1328652501106262,0.0001569639638866114,0.10033369,60,-33.715670585632324,0.3654458522796631,-95.05057119354838,58,240,14000,0.8732790052890778,,,
884,214.375,0.15625,-1.1517123579978943,0.0001569639638866114,0.10033369,64,-34.20961856842041,0.34674057364463806,-94.97787471874999,59,239,14240,0.8710859566926956,,,
928,210.11764705882354,0.17647058823529413,-1.2096084654331207,0.0001569639638866114,0.10033369,68,-35.30484199523926,0.38359664380550385,-90.46561941176469,62,238,14920,0.8650848716497421,,,
1008,212.33333333333334,0.16666666666666666,-1.3185231685638428,0.0001569639638866114,0.10033369,72,-37.63545227050781,0.35379887372255325,-91.8523294861111,67,240,16240,0.8542670458555222,,,
1052,214.31578947368422,0.15789473684210525,-1.3756734132766724,0.0001569639638866114,0.10033369,76,-38.69737911224365,0.2983471527695656,-92.5099924868421,70,240,16920,0.8483694046735764,,,
1120,211.62962962962962,0.1728395061728395,-1.4680998623371124,0.0001569639638866114,0.10033369,80,-40.571144104003906,0.3526661545038223,-90.03275432098765,74,240,18000,0.8393370062112808,,,
1136,210.10714285714286,0.17857142857142858,-1.4882239997386932,0.0001569639638866114,0.10033369,84,-41.0477294921875,0.4226710647344589,-88.52448851190475,76,240,18272,0.8372242897748947,,,
1204,208.1590909090909,0.19318181818181818,-1.5813239216804504,0.0001569639638866114,0.10033369,88,-42.75890350341797,0.5860577523708344,-86.41625019318181,80,240,19352,0.8283053934574127,,,
1252,207.3804347826087,0.1956521739130435,-1.6443845927715302,0.0001569639638866114,0.10033369,92,-43.935041427612305,0.44304410368204117,-87.18150840217392,83,240,20144,0.822068452835083,,,
1268,206.8125,0.19791666666666666,-1.663114994764328,0.0001569639638866114,0.10033369,96,-44.33205986022949,0.5068565756082535,-86.58715278125,84,240,20392,0.8200003802776337,,,
1352,206.38,0.2,-1.7720036804676056,0.0001569639638866114,0.10033369,100,-46.36925220489502,0.40277712047100067,-87.05398161,90,240,21752,0.8092250972986221,,,
1392,206.38,0.2,-1.8247245252132416,0.0001569639638866114,0.10033369,104,-47.10185432434082,0.7804948017001152,-83.00306136,93,240,22392,0.8041461408138275,,,
1448,202.68,0.22,-1.8982173800468445,0.0001569639638866114,0.10033369,108,-48.34681510925293,1.224208489060402,-78.65854042,96,240,23280,0.7970881164073944,,,
1512,204.77,0.21,-1.9869415163993835,0.0001569639638866114,0.10033369,112,-49.708584785461426,0.7454565167427063,-79.03144472,101,240,24272,0.7891026735305786,,,
1532,202.4,0.22,-2.012934446334839,0.0001569639638866114,0.10033369,116,-50.14070510864258,1.3215351998806,-77.62742402,102,240,24584,0.7866236120462418,,,
1580,200.62,0.23,-2.0749042630195618,0.0001569639638866114,0.10033369,120,-51.384321212768555,0.9186687618494034,-77.03937016,105,239,25352,0.7807068675756454,,,
1644,200.62,0.23,-2.1594597697257996,0.0001569639638866114,0.10033369,124,-52.4730224609375,1.094562217593193,-79.27087817,109,240,26392,0.7728877812623978,,,
1688,195.66,0.25,-2.2201271057128906,0.0001569639638866114,0.10033369,128,-53.27047348022461,0.5859482884407043,-75.55749861,112,240,27096,0.7675595432519913,,,
1752,195.66,0.25,-2.305868685245514,0.0001569639638866114,0.10033369,132,-54.68270301818848,0.6588110998272896,-74.78570751000001,117,239,28144,0.7598751783370972,,,
1796,198.85,0.24,-2.3627620339393616,0.0001569639638866114,0.10033369,136,-55.17003154754639,2.1301219165325165,-76.23475106,120,238,28856,0.7546375840902328,,,
1852,198.85,0.24,-2.433585822582245,0.0001569639638866114,0.10033369,140,-56.429595947265625,1.8592050299048424,-77.09956879999999,124,238,29752,0.7480256110429764,,,
1896,197.28,0.25,-2.4859942197799683,0.0001569639638866114,0.10033369,144,-57.1232213973999,1.0546588152647018,-75.86258734999998,127,238,30408,0.7428719401359558,,,
1948,203.37,0.22,-2.559906303882599,0.0001569639638866114,0.10033369,148,-57.719472885131836,1.1029816791415215,-80.38176651,131,238,31280,0.7368304878473282,,,
