#{"t_start": 1750312550.00686, "env_id": "None"}
r,l,t
-2.340066,155,618.942953
-30.264679,250,620.379406
27.318655,39,620.588464
-114.226681,250,621.87674
8.07352,80,622.362396
27.123433,44,622.659624
18.899075,24,622.823837
16.54295,79,627.029921
24.688777,23,627.193439
-184.434157,250,628.619316
2.746446,106,629.170805
-151.820493,250,630.706222
-349.735678,250,631.962309
7.358577,79,632.42697
18.083793,62,632.83104
17.650695,80,633.291243
-184.746199,250,651.178618
-39.050049,250,652.490701
-46.563064,250,653.792352
25.127519,32,653.970473
-146.266544,250,655.366815
21.173676,44,655.601056
-44.163456,250,657.09328
26.610444,27,657.227122
-27.440115,250,658.581465
22.263977,68,658.971611
-30.058578,250,660.52228
18.025833,43,660.767431
28.539146,12,660.817013
2.48119,67,661.192698
17.559175,71,661.550154
16.779287,67,661.870094
-15.897693,241,679.616096
27.128404,20,679.762395
18.76396,68,680.210137
-15.067943,135,680.899341
25.342846,35,681.051425
15.304022,34,681.264386
-89.692329,250,682.651345
20.473031,65,683.034132
-221.180528,250,684.486587
-50.248012,250,686.072949
16.40255,56,686.384913
19.459692,66,686.724569
2.852306,143,687.494482
-171.85069,250,689.011262
-35.810993,250,706.838513
19.885386,45,707.125023
-277.987546,250,708.520493
2.441478,103,709.061283
-28.3013,250,710.499091
19.327365,62,710.816284
26.417823,13,710.891145
-30.340013,250,716.323673
22.113753,34,716.512834
19.21518,57,716.818412
-170.807497,250,718.34994
29.600781,36,718.511257
10.002619,44,718.857-33.5-33.561057,250,720.277866
12.638402,77,720.686-80.72.889224,190,721.6964
-222.952958,250,739.669499
26.474987,18,739.783574-1-145.349122,250,741.10876-214.220227,250,741.963425
-14.539747,125,742.6357-27.19.149069,53,742.9910562627.257922,15,743.0702321.15.66646,98,743.602184-2-285.165977,250,744.87395-88.954214,250,746.068194
11.603671,94,746.593328
-112.153184,250,747.970979
-17.250914,122,748.686313
-47.313317,245,750.119931
27.12666,30,767.617093
25.669461,46,767.890872
24.75782,41,768.14655
-37.001903,250,769.463575
14.945387,42,769.743809
-65.950404,250,771.135163
