train/n_updates,rollout/ep_len_mean,rollout/success_rate,train/ent_coef_loss,train/learning_rate,curriculum/radius,time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/ent_coef,eval/mean_ep_length,eval/mean_reward,eval/success_rate
480,250.0,0.0,-0.21966461651027203,5.6115164153345e-05,0.10033369,4,-20.80349898338318,0.7693250104784966,-222.66592687500003,22,89,2000,0.9739271402359009,,,
,250.0,0.0,,,,8,,,-222.66592687500003,22,89,2000,,,,
976,250.0,0.0,-0.43928389251232147,5.6115164153345e-05,0.10033369,12,-39.290101051330566,1.3431081771850586,-167.3129564375,45,87,4000,0.9474959000945091,,,
,250.0,0.0,,,,16,,,-167.3129564375,45,87,4000,,,,
1472,226.24,0.12,-0.6576566994190216,5.6115164153345e-05,0.10033369,20,-48.943562746047974,1.4475040137767792,-142.75305136,68,87,6000,0.9219169951975346,,,
,226.24,0.12,,,,24,,,-142.75305136,68,86,6000,,,,
1696,220.10714285714286,0.14285714285714285,-0.7573754228651524,5.6115164153345e-05,0.10033369,28,-50.68000149726868,1.7946522682905197,-138.73316110714285,80,86,6912,0.910533644258976,,,
1968,224.63636363636363,0.12121212121212122,-0.8805611431598663,5.6115164153345e-05,0.10033369,32,-52.18033194541931,1.2052972838282585,-134.25702160606062,92,86,8000,0.8968358673155308,,,
2064,219.91666666666666,0.1388888888888889,-0.9241932295262814,5.6115164153345e-05,0.10033369,36,-52.2448616027832,1.4934426061809063,-131.98467419444444,97,85,8336,0.8920349143445492,,,
2480,223.58536585365854,0.12195121951219512,-1.126454472541809,5.6115164153345e-05,0.10033369,40,-52.218632221221924,1.1157146245241165,-132.44044590243905,117,85,10000,0.8714356981217861,,,
2528,220.27272727272728,0.13636363636363635,-1.146538533270359,5.6115164153345e-05,0.10033369,44,-52.036290645599365,1.362412229180336,-130.10979938636365,120,85,10232,0.8690801821649075,,,
2976,219.47058823529412,0.13725490196078433,-1.361438475549221,5.6115164153345e-05,0.10033369,48,-51.02860116958618,1.1242772936820984,-128.59092050980394,148,80,12000,0.8473665192723274,,,
,215.30769230769232,0.15384615384615385,,,0.10033369,52,,,-125.62575859615384,149,80,12024,,,,
3200,217.78571428571428,0.14285714285714285,-1.4666790440678596,5.6115164153345e-05,0.10033369,56,-50.175878286361694,1.7910847179591656,-124.4262155892857,160,80,12920,0.8366876728832722,,,
3472,212.2295081967213,0.18032786885245902,-1.605841115117073,5.6115164153345e-05,0.10033369,60,-49.52179312705994,0.620775368064642,-117.39607793442623,173,80,14000,0.8238910958170891,,,
3536,214.0,0.171875,-1.6328540071845055,5.6115164153345e-05,0.10033369,64,-49.33115100860596,0.9902697391808033,-116.964239015625,176,80,14232,0.8209105171263218,,,
3712,209.76470588235293,0.19117647058823528,-1.719823032617569,5.6115164153345e-05,0.10033369,68,-49.00890398025513,1.2567971907556057,-113.07780144117648,185,80,14920,0.8127647899091244,,,
3984,208.55555555555554,0.19444444444444445,-1.8535779118537903,5.6115164153345e-05,0.10033369,72,-48.30955791473389,0.8015519678592682,-111.92799880555556,200,79,16016,0.8003428764641285,,,
4064,207.77631578947367,0.19736842105263158,-1.896046593785286,5.6115164153345e-05,0.10033369,76,-48.07999300956726,0.9834123346954584,-111.1814003157895,204,80,16384,0.7967247739434242,,,
4480,207.49382716049382,0.19753086419753085,-2.0945954471826553,5.6115164153345e-05,0.10033369,80,-47.25240635871887,0.7084507886320353,-109.91307482716049,223,80,18000,0.7781801037490368,,,
4544,209.01190476190476,0.19047619047619047,-2.128551170229912,5.6115164153345e-05,0.10033369,84,-47.007112979888916,0.6382178068161011,-109.28835271428568,228,80,18256,0.7753680795431137,,,
4976,211.31460674157304,0.1797752808988764,-2.33417971432209,5.6115164153345e-05,0.10033369,88,-46.09019756317139,0.5989974103868008,-108.9566047752809,251,79,20000,0.7566647604107857,,,
5040,210.63440860215053,0.1827956989247312,-2.3626725524663925,5.6115164153345e-05,0.10033369,92,-46.05801224708557,0.8391620628535748,-106.39170525806453,255,79,20256,0.7539345473051071,,,
5200,211.86458333333334,0.17708333333333334,-2.4388714283704758,5.6115164153345e-05,0.10033369,96,-45.72970747947693,0.5461221821606159,-105.46469661458333,263,79,20920,0.7471554391086102,,,
5472,209.8,0.19,-2.5689504146575928,5.6115164153345e-05,0.10033369,100,-45.111077308654785,0.5571059118956327,-104.09202914,275,79,22016,0.7357730679214001,,,
5568,206.35,0.21,-2.616750881075859,5.6115164153345e-05,0.10033369,104,-45.053102254867554,0.5317607652395964,-95.28777799000001,280,79,22392,0.7318011671304703,,,
5968,206.09,0.22,-2.812232881784439,5.6115164153345e-05,0.10033369,108,-44.22653770446777,0.6608067210763693,-90.70112017,299,80,24000,0.7154911756515503,,,
6080,206.09,0.22,-2.859332174062729,5.6115164153345e-05,0.10033369,112,-43.86500144004822,0.4214799962937832,-91.02325345999999,305,79,24392,0.7109944671392441,,,
6480,206.09,0.22,-3.046385020017624,5.6115164153345e-05,0.10033369,116,-43.05570316314697,0.580341562628746,-91.70079415000001,324,80,26000,0.695175264030695,,,
6560,209.92,0.2,-3.0883136242628098,5.6115164153345e-05,0.10033369,120,-42.94678974151611,0.776337530463934,-91.99935592,328,80,26328,0.6920574121177197,,,
6640,207.61,0.21,-3.1259685307741165,5.6115164153345e-05,0.10033369,124,-42.77899670600891,0.6999167110770941,-89.88055763,332,80,26672,0.6889505237340927,,,
