episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
1,3341.704553,250,0,0.148790967464447,0,"[-1.3859597 , 1.562     ,-1.3983178 ,-0.13300705,-0.10094512]","[-0.06293099, 0.5416471 , 0.86746496]"
2,1381.766123,250,0,0.148790967464447,0,"[-2.0857   , 0.0087   ,-2.0857   ,-1.0906595, 1.8239   ]","[-0.17211786, 0.31436446, 1.2105994 ]"
3,353.362457,250,0,0.148790967464447,0,"[-2.0857   , 0.0087   ,-2.0857   ,-1.2680595, 1.8239   ]","[0.29074422,0.12463428,1.1220653 ]"
4,296.501233,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-1.3614, 1.8239]","[0.25256693,0.35558128,0.7899675 ]"
5,818.179785,250,0,0.148790967464447,0,"[-2.0857   , 0.0087   ,-2.0857   ,-1.3172352, 1.8239   ]","[0.01195842,0.5216485 ,1.0770313 ]"
6,623.270866,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-1.3614, 1.8239]","[0.0633355 ,0.45217338,1.0612104 ]"
7,376.367507,250,0,0.148790967464447,0,"[-2.0857  , 0.0087  ,-2.0857  ,-1.311437, 1.8239  ]","[-0.14849149, 0.2569417 , 0.55819684]"
8,562.110255,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-1.3114, 1.8239]","[0.10419011,0.13193196,1.184607  ]"
9,804.365629,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-1.3614, 1.8239]","[0.08358784,0.4305803 ,1.0394739 ]"
10,761.468754,250,0,0.148790967464447,0,"[-2.0857   , 0.0087   ,-2.0857   ,-1.3148006, 1.8239   ]","[-0.17288698, 0.42972925, 0.7974429 ]"
11,222.937959,9,1,0.148790967464447,1,"[-2.0857    , 0.8410338 ,-1.8494276 ,-0.6658362 ,-0.21851781]","[-0.269971  , 0.44609588, 1.0482442 ]"
12,534.50601,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.04745321, 1.8239    ]","[0.14962485,0.31760547,1.191308  ]"
13,369.813357,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.31057897, 1.8239    ]","[-0.18950643, 0.4239909 , 0.6964897 ]"
14,1037.33788,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.43781903, 1.8239    ]","[0.00155073,0.32685903,1.1981969 ]"
15,115.27124,1,1,0.148790967464447,1,"[-0.23380911, 0.8697694 , 1.367084  ,-0.42772156,-0.4425118 ]","[0.18931156,0.44200504,0.8844149 ]"
16,1312.457806,250,0,0.148790967464447,0,"[-2.0857   , 0.0087   ,-2.0857   ,-0.1232776, 1.8239   ]","[0.04080911,0.24261336,1.2691146 ]"
17,361.812119,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.08505388, 1.8239    ]","[0.14292136,0.37840152,0.7709855 ]"
18,283.982557,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.07973617, 1.8239    ]","[0.10892276,0.2220516 ,0.5700759 ]"
19,237.011076,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.05911254, 1.8239    ]","[-0.2600997 , 0.22996761, 0.6197637 ]"
20,279.964133,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[0.28868547,0.3223113 ,0.78099716]"
21,191.995809,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[-0.0612535 , 0.31475228, 0.5619523 ]"
22,945.207542,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[0.03580438,0.38057718,1.2179892 ]"
23,552.339268,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[-0.10300633, 0.51220477, 0.9768385 ]"
24,917.922383,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[0.07063964,0.37596953,1.1903245 ]"
25,261.827061,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.00870002, 1.8239    ]","[-0.05263265, 0.49529693, 0.7055743 ]"
26,213.043239,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[0.09971027,0.2750891 ,0.57233185]"
27,238.398974,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0587, 1.8239]","[-0.26342967, 0.15819088, 0.6169467 ]"
28,871.448555,250,0,0.148790967464447,0,"[-2.0857, 0.0087,-2.0857,-0.0087, 1.8239]","[-5.9685763e-04, 4.4319293e-01, 1.1933941e+00]"
29,312.704222,250,0,0.148790967464447,0,"[-2.0857    , 0.0087    ,-2.0857    ,-0.05851401, 1.8239    ]","[-0.03859155, 0.30770686, 0.59515214]"
30,902.29219,250,0,0.148790967464447,0,"[-1.9977701 , 0.0087    ,-2.0857    ,-0.05788204, 1.8239    ]","[-0.07532728, 0.43335006, 1.1290573 ]"
31,1737.981154,250,0,0.148790967464447,0,"[-1.8755314, 0.0087   ,-1.788015 ,-0.0087   , 1.8239   ]","[0.09689286,0.1582672 ,1.2500843 ]"
32,2129.874726,250,0,0.148790967464447,0,"[ 0.76234525, 0.0087    ,-1.2154303 ,-0.0087    , 1.8239    ]","[-0.02863339, 0.25856742, 0.51494825]"
33,582.151566,250,0,0.148790967464447,0,"[ 0.91878283, 0.0087    , 0.4575442 ,-1.3614    , 1.8239    ]","[0.02119777,0.3439189 ,1.1553273 ]"
34,455.497127,250,0,0.148790967464447,0,"[ 0.42741868, 0.0087    , 1.3426565 ,-1.3614    , 1.8239    ]","[0.02463824,0.34886956,1.2277031 ]"
35,393.861934,250,0,0.148790967464447,0,"[ 2.0857   , 0.0087   , 1.1191114,-0.3105578, 1.8239   ]","[0.29665115,0.31455085,0.7741803 ]"
36,481.493753,250,0,0.148790967464447,0,"[ 0.7501213, 0.0087   , 1.5858778,-1.3614   , 1.8239   ]","[-0.18115872, 0.17682046, 1.2216338 ]"
37,1104.487111,250,0,0.148790967464447,0,"[ 0.75142264, 0.0087    , 1.89306   ,-1.3614    , 1.8239    ]","[-0.26901013, 0.36349592, 0.8038378 ]"
38,2390.552324,250,0,0.148790967464447,0,"[ 2.0857   , 0.0087   , 0.9815971,-0.4046961, 1.8239   ]","[-0.2579808 , 0.2406404 , 0.58885825]"
39,312.217616,250,0,0.148790967464447,0,"[ 1.9871614, 0.0087   , 1.5049672,-1.3114005, 1.8239   ]","[-0.26805353, 0.44142574, 1.091065  ]"
40,2097.457215,250,0,0.148790967464447,0,"[ 2.0857    , 0.05364981, 0.66700363,-0.0087    , 1.8239    ]","[-0.04184566, 0.26684296, 0.5881314 ]"
41,713.671996,250,0,0.148790967464447,0,"[ 2.0857    , 1.3097067 , 1.4795705 ,-0.48117384, 1.8239    ]","[-0.22485137, 0.4674112 , 1.0847852 ]"
42,1127.521449,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 0.5198167,-0.0087   , 1.8239   ]","[-0.05608904, 0.42004418, 0.605421  ]"
43,1859.020247,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 1.1053773,-0.0087   , 1.8239   ]","[0.1499823 ,0.45513368,0.8634336 ]"
44,699.57892,250,0,0.148790967464447,0,"[ 1.9857001, 1.4807878, 0.9736374,-0.0087   , 1.8239   ]","[0.11483324,0.31098098,1.2166837 ]"
45,1310.671118,250,0,0.148790967464447,0,"[ 2.0857    , 1.562     , 0.40076604,-0.0087    , 1.8239    ]","[0.22294424,0.43406603,0.9055596 ]"
46,446.326877,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    ,-0.7629429,-0.0087   , 1.8239   ]","[-0.09915739, 0.17924681, 0.5552889 ]"
47,895.119521,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    ,-1.1870198,-0.0087   , 1.8239   ]","[0.10111   ,0.372649  ,0.68010795]"
