curriculum/radius,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.10360972,250.0,1,1576,1,-212.64539175,0.0,2048,,,,,,,,,,,,,,
0.10360972,235.52941176470588,2,972,4,-172.110649,0.058823529411764705,4096,0.05732421875,0.2803345035229627,-0.023727160692214967,7.0016246631741526,-7.094268050789833,10,0.9994942545890808,0.1346440315246582,2.6299116611480713,0.02033507,5.6115164153345e-05,,,
0.15541458,213.65384615384616,3,874,7,-138.50350342307692,0.19230769230769232,6144,0.12119140625,0.2803345035229627,-0.03212264294270426,3.0886196941137314,-7.094304013252258,20,1.0002611875534058,0.01999765634536743,6.1924872398376465,0.032975484,5.6115164153345e-05,,,
0.15541458,203.55555555555554,4,822,9,-123.96472808333334,0.25,8192,0.026708984375,0.2803345035229627,-0.010334816171962302,6.009976521879435,-7.094953808188438,30,0.9996896982192993,-0.06523799896240234,2.0895769596099854,0.012570684,5.6115164153345e-05,,,
0.15541458,212.0,5,784,13,-134.51393695454547,0.20454545454545456,10240,0.0390625,0.2803345035229627,-0.012987740802054759,6.180482026934624,-7.09365099966526,40,0.9998911023139954,0.12846529483795166,3.278015613555908,0.014563973,5.6115164153345e-05,,,
0.15541458,211.44444444444446,6,771,15,-134.4331142962963,0.2037037037037037,12288,0.07060546875,0.2803345035229627,-0.01758642193453852,2.598719422519207,-7.095481652021408,50,1.0006345510482788,0.09449553489685059,1.4510458707809448,0.018632963,5.6115164153345e-05,,,
0.15541458,216.41935483870967,7,766,18,-134.2487905645161,0.1774193548387097,14336,0.088134765625,0.2803345035229627,-0.020554619988251942,3.920018745213747,-7.096944108605385,60,1.000060796737671,-0.011601448059082031,1.7622383832931519,0.020759672,5.6115164153345e-05,,,
0.15541458,214.48611111111111,8,760,21,-129.22767613888888,0.18055555555555555,16384,0.073681640625,0.2803345035229627,-0.01852478706568945,1.9277515880763532,-7.094803413748741,70,0.9999925494194031,0.12679952383041382,1.0641865730285645,0.017900225,5.6115164153345e-05,,,
0.15541458,214.6867469879518,9,752,24,-127.13514401204816,0.18072289156626506,18432,0.113037109375,0.2803345035229627,-0.02352248282986693,3.4118276197463273,-7.097788551449776,80,1.0013641119003296,-0.05250096321105957,0.7189570665359497,0.022732556,5.6115164153345e-05,,,
0.15541458,209.86170212765958,10,748,27,-120.11716737234042,0.20212765957446807,20480,0.0693359375,0.2803345035229627,-0.015341258655826095,3.2115080930292605,-7.102488633990288,90,1.001663327217102,-0.012756109237670898,1.8481098413467407,0.016853888,5.6115164153345e-05,,,
0.15541458,206.32,11,734,30,-112.28318540000001,0.23,22528,0.069189453125,0.2803345035229627,-0.012320314654789399,5.794314780086279,-7.101435095071793,100,1.0010944604873657,0.012431800365447998,1.5168734788894653,0.019805815,5.6115164153345e-05,,,
0.15541458,205.26,12,731,33,-107.07995874,0.24,24576,0.079541015625,0.2803345035229627,-0.013738067248777953,5.437411679327488,-7.100814527273178,110,1.0012792348861694,0.12512362003326416,6.684211730957031,0.021502582,5.6115164153345e-05,,,
0.20721944,207.27,13,729,36,-104.44344896000001,0.23,26624,0.12685546875,0.2803345035229627,-0.02637053402431775,2.624188407883048,-7.1031038671731945,120,1.0023844242095947,-0.20124459266662598,0.7020078897476196,0.029519677,5.6115164153345e-05,,,
0.20721944,204.95,14,727,39,-99.63900192000001,0.23,28672,0.04765625,0.2803345035229627,-0.015328162917285226,5.033656604588032,-7.10871451497078,130,1.0029256343841553,0.05486077070236206,7.8268609046936035,0.01600079,5.6115164153345e-05,,,
0.20721944,200.86,15,726,42,-90.18176581999998,0.26,30720,0.099365234375,0.2803345035229627,-0.019038904950139112,3.5558608967810867,-7.1095478475093845,140,1.0030838251113892,0.12740492820739746,3.046213150024414,0.019171216,5.6115164153345e-05,,,
0.20721944,200.3,16,718,45,-85.16891864999998,0.27,32768,0.0931640625,0.2803345035229627,-0.02318997213442344,5.216545088589191,-7.109362876415252,150,1.002845287322998,0.16879862546920776,4.338651657104492,0.024790308,5.6115164153345e-05,,,
0.20721944,196.24,17,718,48,-79.06790396999999,0.31,34816,0.12041015625,0.2803345035229627,-0.024466857669176535,4.725693371891976,-7.109225234389305,160,1.0030733346939087,-0.15159690380096436,1.120008111000061,0.031360928,5.6115164153345e-05,,,
0.20721944,199.52,18,718,51,-78.91502592,0.3,36864,0.155712890625,0.2803345035229627,-0.026575438791769556,5.026641464233398,-7.1091498047113415,170,1.0028417110443115,0.05134856700897217,6.072073459625244,0.028516695,5.6115164153345e-05,,,
0.20721944,200.12,19,717,54,-75.40276888999999,0.31,38912,0.1103515625,0.2803345035229627,-0.018210967018967496,2.079232607036829,-7.110428407788277,180,1.0034220218658447,0.10895520448684692,1.0511046648025513,0.021940043,5.6115164153345e-05,,,
0.20721944,198.97,20,714,57,-72.62832261,0.34,40960,0.126708984375,0.2803345035229627,-0.02193573048862163,4.451273849233985,-7.108688083291054,190,1.0018947124481201,0.04864460229873657,5.585671424865723,0.025827806,5.6115164153345e-05,,,
0.20721944,194.21,21,714,60,-69.26525391,0.35,43008,0.15087890625,0.2803345035229627,-0.021325807640096173,7.296822142601013,-7.104563343524933,200,1.002171516418457,-0.04176914691925049,1.7272205352783203,0.026269726,5.6115164153345e-05,,,
0.20721944,196.63,22,714,63,-68.16431102,0.34,45056,0.089794921875,0.2803345035229627,-0.013799807452596725,6.085629983991384,-7.106712928414344,210,1.002663016319275,0.03549313545227051,5.970031261444092,0.01943131,5.6115164153345e-05,,,
0.20721944,191.74,23,713,65,-66.24182019000001,0.38,47104,0.1236328125,0.2803345035229627,-0.02055295284008025,4.6803078468888994,-7.108364620804787,220,1.0026280879974365,0.2040717601776123,7.724413871765137,0.024593757,5.6115164153345e-05,,,
0.20721944,192.2,24,713,68,-66.09100217999999,0.37,49152,0.090478515625,0.2803345035229627,-0.01253318179078633,7.169246511161328,-7.105277433991432,230,1.0016038417816162,0.19049572944641113,8.369397163391113,0.021856936,5.6115164153345e-05,,,
0.20721944,,,,,,False,50000,0.1099609375,0.2803345035229627,-0.02303397799259983,3.2504697367548943,-7.101008784770966,240,1.0007431507110596,0.16937512159347534,0.4529683589935303,0.023939976,5.6115164153345e-05,202.65,0.2,-83.6871654
0.20721944,191.68,25,667,76,-64.32503741,0.37,51200,,,,,,,,,,,,,,
0.20721944,188.46,26,668,79,-59.796303419999994,0.39,53248,0.11181640625,0.2803345035229627,-0.019438709542737343,4.245387431234121,-7.096731480956078,250,1.000099539756775,-0.14384496212005615,1.1823804378509521,0.021435812,5.6115164153345e-05,,,
0.20721944,183.19,27,670,82,-55.301936350000005,0.41,55296,0.08564453125,0.2803345035229627,-0.013932676984404679,6.561836864799261,-7.096851691603661,260,1.000864863395691,0.03676420450210571,3.3167340755462646,0.02182341,5.6115164153345e-05,,,
0.20721944,178.8,28,669,85,-49.97366519,0.43,57344,0.117919921875,0.2803345035229627,-0.018423856380104554,5.650152656063438,-7.100748687982559,270,1.0016449689865112,0.1026565432548523,8.077767372131348,0.024427421,5.6115164153345e-05,,,
0.20721944,173.84,29,669,88,-49.73488721999999,0.44,59392,0.045068359375,0.2803345035229627,-0.010868825683428441,5.784485670179128,-7.102111101150513,280,1.0013718605041504,0.1636255383491516,2.425938844680786,0.010493912,5.6115164153345e-05,,,
0.20721944,174.23,30,670,91,-47.1320288,0.45,61440,0.116357421875,0.2803345035229627,-0.015974813648790588,6.6563268534839155,-7.1014219403266905,290,1.001491904258728,0.2538296580314636,2.9544150829315186,0.020546708,5.6115164153345e-05,,,
0.20721944,171.9,31,671,94,-43.08115879000001,0.46,63488,0.048876953125,0.2803345035229627,-0.009162396621832158,6.312943583726883,-7.1022430777549745,300,1.0016260147094727,0.005984008312225342,2.2343626022338867,0.013631003,5.6115164153345e-05,,,
0.20721944,171.93,32,672,97,-40.36229559,0.46,65536,0.073095703125,0.2803345035229627,-0.013878179193125107,6.644065173715353,-7.105956694483757,310,1.0031635761260986,0.021274328231811523,8.888250350952148,0.019925624,5.6115164153345e-05,,,
0.20721944,176.12,33,672,100,-46.93259066,0.45,67584,0.11416015625,0.2803345035229627,-0.016852093490888363,4.1202597297728065,-7.108243820071221,320,1.0021839141845703,0.1630226969718933,4.09716272354126,0.021321855,5.6115164153345e-05,,,
0.20721944,177.7,34,672,103,-48.40626021999999,0.44,69632,0.084326171875,0.2803345035229627,-0.013795737974578514,4.3276169784367085,-7.105669116973877,330,1.0026439428329468,-0.14786434173583984,2.2086708545684814,0.016770344,5.6115164153345e-05,,,
0.20721944,178.06,35,673,106,-52.545064700000005,0.43,71680,0.16455078125,0.2803345035229627,-0.022831104480428622,5.225462450832128,-7.106646147370339,340,1.002280831336975,0.07113397121429443,1.9205448627471924,0.023505377,5.6115164153345e-05,,,
0.20721944,180.29,36,673,109,-54.08608721,0.41,73728,0.084814453125,0.2803345035229627,-0.018475517371552997,4.867143423855305,-7.1051777601242065,350,1.0021950006484985,0.2659229636192322,6.634313106536865,0.017488293,5.6115164153345e-05,,,
0.2590243,171.42,37,674,112,-47.76153405,0.45,75776,0.083740234375,0.2803345035229627,-0.01827794475539122,2.4313219912350177,-7.108123847842217,360,1.0035569667816162,0.32736945152282715,0.43463441729545593,0.017981932,5.6115164153345e-05,,,
0.2590243,165.38,38,674,115,-47.08632761999999,0.48,77824,0.049609375,0.2803345035229627,-0.01083604412706336,12.322192438691854,-7.112223508954048,370,1.0037657022476196,0.1806313395500183,8.189422607421875,0.013875985,5.6115164153345e-05,,,
