episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
1,2118.339838,184,1,0.148790967464447,1,"[-1.7202832 , 0.1587    , 1.2152877 ,-0.27391517,-1.168544  ]","[-0.06543734, 0.20247306, 1.3091675 ]"
2,1849.586577,250,0,0.148790967464447,0,"[-1.2388633 , 1.4620001 , 1.0562828 ,-0.63098574, 0.9358814 ]","[-0.05253887, 0.20417976, 1.2951913 ]"
3,2107.555741,250,0,0.148790967464447,0,"[ 0.9870023, 1.562    ,-1.6357005,-1.1031033, 0.9779548]","[0.11617968,0.42698985,1.0145088 ]"
4,2712.676475,250,0,0.148790967464447,0,"[ 1.4535487, 1.5097193,-1.6003939,-0.9616508,-0.4775278]","[0.10680643,0.4905699 ,1.0329262 ]"
5,299.999159,14,1,0.148790967464447,1,"[-1.2214228 , 0.9874191 ,-0.74194247,-0.4468673 , 0.71041274]","[4.7046412e-04,4.5735347e-01,1.1416810e+00]"
6,2022.13434,250,0,0.148790967464447,0,"[ 1.5523661 , 0.35309875, 0.93745315,-0.8614003 ,-0.9781843 ]","[0.0171831,0.2647508,0.6076353]"
7,2462.721172,250,0,0.148790967464447,0,"[-1.806849  , 1.311032  ,-0.12475494,-0.9652435 ,-0.5326536 ]","[0.05255349,0.4694763 ,1.0668324 ]"
8,1119.226816,250,0,0.148790967464447,0,"[-1.8226295 , 0.35870004, 1.620398  ,-0.5348594 , 1.7239001 ]","[-0.0687372, 0.5439789, 1.004261 ]"
9,2047.326736,210,1,0.148790967464447,1,"[ 1.6593083, 1.562    ,-0.2548613,-1.000173 , 1.1546271]","[-0.02313315, 0.48490238, 0.75480086]"
10,2917.205971,250,0,0.148790967464447,0,"[-1.2912836 , 0.17485003, 1.7357004 ,-0.6954919 ,-1.0071979 ]","[0.30571884,0.26303902,1.0243168 ]"
11,624.550313,54,1,0.148790967464447,1,"[ 0.91369057, 0.0087    ,-0.6869534 ,-0.4064492 ,-1.1126367 ]","[0.22040045,0.09474342,0.6505685 ]"
12,1630.89072,250,0,0.148790967464447,0,"[ 1.9357002 , 1.562     ,-0.25220355,-0.88300675, 0.31152305]","[0.14534414,0.3649511 ,0.6542257 ]"
13,1955.140491,150,1,0.148790967464447,1,"[ 1.576847 , 1.4120002,-1.4717095,-0.8723262,-1.0944715]","[0.10866208,0.46845287,0.8732423 ]"
14,959.121995,250,0,0.148790967464447,0,"[-0.6426913 , 0.41901094,-1.6362901 ,-0.3896945 ,-0.45335233]","[0.30318248,0.2807235 ,1.0488225 ]"
15,2774.316074,250,0,0.148790967464447,0,"[ 0.38724712, 1.1932977 , 1.462563  ,-1.3614    , 0.09129444]","[-0.07911001, 0.49600413, 0.7592071 ]"
16,2111.290637,250,0,0.148790967464447,0,"[-0.27463847, 1.2504526 ,-0.88320386,-0.46474618,-0.99479383]","[-0.04072313, 0.39046544, 1.101319  ]"
17,914.829182,250,0,0.148790967464447,0,"[-0.04216574, 1.340666  ,-2.0857    ,-0.65556437,-0.7395718 ]","[0.1752593 ,0.08304712,0.714694  ]"
18,1491.679486,250,0,0.148790967464447,0,"[-1.7160614, 0.5264898,-1.5480989,-0.7087001,-1.4875582]","[-0.1115536 , 0.16079676, 1.2338134 ]"
19,1926.306024,250,0,0.148790967464447,0,"[-0.09698755, 1.3067641 , 1.8847317 ,-0.07424578,-1.8239    ]","[0.25203863,0.40785152,0.9039625 ]"
20,114.682678,1,1,0.148790967464447,1,"[-1.3102462 , 1.2513707 , 1.875534  ,-0.58325756,-1.8239    ]","[0.09309921,0.50611913,0.97586656]"
21,412.468633,24,1,0.148790967464447,1,"[-1.2083182 , 0.97056645,-0.29499882,-1.1080345 , 1.1412919 ]","[-0.01391637, 0.33498484, 1.2218986 ]"
22,961.466211,107,1,0.148790967464447,1,"[ 1.0380094 , 0.8437182 ,-1.9857001 ,-0.48951912, 1.6239002 ]","[0.07827613,0.49896643,0.73635095]"
23,2443.547821,250,0,0.148790967464447,0,"[-0.538351  , 1.5120001 , 0.92206025,-1.2614001 , 0.7298759 ]","[0.2083511 ,0.40770996,0.8787722 ]"
24,749.564167,52,1,0.148790967464447,1,"[ 0.6568518 , 0.63963413, 0.54330325,-1.1241559 , 0.72525346]","[0.15048623,0.21374911,0.63583523]"
25,2072.45172,250,0,0.148790967464447,0,"[ 1.6458385 , 0.44057524, 0.21605603,-1.3614    ,-0.08894086]","[-0.237716  , 0.32776877, 0.66004723]"
26,719.336967,48,1,0.148790967464447,1,"[ 2.0357    , 0.22244261,-1.3423136 ,-0.2192307 , 0.4637885 ]","[-0.23251589, 0.24259067, 0.5604042 ]"
27,1831.715949,250,0,0.148790967464447,0,"[-0.9696699 , 0.85952526, 1.186185  ,-0.44150376,-1.5739002 ]","[0.05922747,0.22341812,1.2492026 ]"
28,173.513628,5,1,0.148790967464447,1,"[-0.9671427 , 1.2360451 ,-1.350798  ,-0.72161293,-1.2609174 ]","[-0.10429284, 0.4720777 , 1.0945256 ]"
29,2327.542416,250,0,0.148790967464447,0,"[-1.3557539 , 1.4120002 , 0.87724084,-0.95603067,-1.088022  ]","[0.22909886,0.41163167,1.0424197 ]"
30,464.202006,29,1,0.148790967464447,1,"[ 0.8546283 , 0.8009391 , 0.8477713 ,-0.43032062, 0.4700244 ]","[0.10363272,0.41093627,0.6437608 ]"
31,1179.427565,250,0,0.148790967464447,0,"[ 2.0782084 , 1.251744  ,-1.7626014 ,-0.26867262, 0.6188828 ]","[0.18112278,0.12858446,0.5724829 ]"
