#{"t_start": 1750434319.624952, "env_id": "None"}
r,l,t
-234.798116,250,1.248336
--276.831519,250,2.486-98-6-137.845348,250,3.73-98-18-159.501207,250,4.9-189-72-137.443648,250,6.3087-126-230.751208,250,7.5--133.5-141.651813,250,8.7-125.75-183.778642,250-100-162.143-3.119766,156,2-166-161.-105.349479,250,21-88.5161-128.628039,250,22-163.5324-63.711705,250,24.-93.9602-154.472085,250,25-314.9436-164.176713,250,2-82.098306-116.775055,250,-95.977414,-115.086216,250,29.116509
-87.563742,250,41.096225
-69.079303,250,42.323255
-142.83265,250,43.63088
-137.93974,250,44.967168
25.929005,2,44.98668
16.459707,31,45-80.58136-119.816902,250,4-296.18941-166.634521,250,4-96.367856-91.506227,250,48.93226
-142.605138,250,50.209289
-178.320752,250,61.031394
-65.7649,234,66.733965
-154.695135,250,68.120908
-117.136463,250,69.287172
-117.89882,250,70.58464
-105.50276,250,71.75324
-77.788631,250,72.994719
-157.422128,250,74.183405
-221.151919,250,75.489345
-168.983675,250,87.232793
-85.185247,250,88.655504
-78.702438,250,89.970209
19.040494,24,90.088251
-109.132831,250,91.238932
-75.015858,250,92.504446
3.791965,101,92.96901
-83.195511,250,94.132447
-96.977885,250,95.430514
24.168577,21,95.538914
-148.996625,250,109.068182
-108.120803,250,110.279669
-142.009351,250,111.591668
-73.986825,250,112.764621
-153.897334,250,114.060648
-19.451029,143,114.752963--165.181087,250,116.178561--192.616502,250,117.399272--59.620148,250,118.791966
-51.377468,250,130.146488
-55.300117,250,135.861679
-131.313431,250,137.020802
11.789039,72,137.342914
-3.688076,153,138.148051-6-4.424313,98,138.604389
-57.244977,250,139.738533
-81.856156,250,141.018175--56.415573,250,142.135535
-51.466205,250,143.396252
-40.615986,188,154.886811
-65.405493,250,156.150061
-57.260644,250,157.286086-5-25.271253,144,158.09738--136.195546,250,159.281415--123.697513,250,160.657-252.-94.781648,250,161.785-122-100.976829,250,163.0222-135-196.390296,250,164.3334-3.6-9.654906,218,175.422889
-183.067903,250,176.596437
-170.373481,250,177.73914
-256.737445,250,179.127884
24.108509,21,179.235305
-80.133903,250,180.474787
-88.166895,250,181.663568
24.912475,7,181.705-112.-57.842734,250,183.0429-56.048023,250,183.526975
-96.386444,250,195.468121
-59.38265,250,196.665074
24.370257,13,196.719226
-45.379712,250,202.031494
