#{"t_start": 1749265492.3691776, "env_id": "None"}
r,l,t
2434.280318,250,6.32614
1967.168467,250,8.674655
1292.876249,250,10.251621
383.314266,21,10.40123
655.520862,49,10.712496
1810.769978,250,13.776782
2526.353564,250,15.418171
1135.70279,250,16.988718
2455.478621,250,18.839084
1507.211406,250,21.975122
515.190677,31,22.230434
1499.923639,250,24.090708
2504.36904,250,25.878251
903.587014,250,27.561666
1113.377516,250,30.774166
2362.613207,250,32.477487
1133.617281,250,34.316589
2403.964974,250,36.153982
2138.601078,250,39.35182
1269.419108,250,41.035219
2244.241408,250,42.695131
1605.064313,250,44.346303
2210.858631,250,45.99691
1865.82784,250,49.320898
1857.859693,250,51.235526
2341.080643,247,53.351027
2211.113719,250,55.343293
2312.556477,250,58.535948
1454.20733,250,60.236418
1979.537334,250,62.436589
1738.496949,250,64.090413
2295.148038,250,67.308028
2533.781107,250,68.980836
1228.727288,250,70.671444
462.530001,29,70.880325
1302.346021,250,72.600753
1360.603598,250,76.559616
1470.16943,250,79.429352
1287.640107,105,80.427238
1491.111388,250,82.270923
821.083962,250,85.884817
2128.928157,250,87.668274
159.596309,4,87.702497
2159.507107,174,88.981364
2364.591581,250,90.683047
2236.174644,250,92.495737
448.330086,29,92.688102
722.590958,250,95.838675
1629.564031,130,96.782395
1559.514841,250,98.461325
1094.934807,250,100.211487
1124.999696,250,103.43189
2336.096618,250,105.309939
2150.516837,250,107.091911
1415.11857,250,109.108306
2208.30843,250,112.614631
1878.265005,250,114.692359
2770.66711,250,116.661357
2253.102635,183,117.923854
1534.757586,250,119.813619
1931.555883,250,123.994309
1000.140835,250,126.10444
772.314133,250,127.84878
947.179052,250,129.758178
1590.117795,250,132.945649
1720.553986,250,134.774378
2089.456225,250,136.609648
2012.898623,250,138.696025
2594.202532,250,142.224974
2125.572221,250,144.33776
2703.873389,250,146.479369
425.313746,31,146.709561
1151.212688,250,148.546921
2281.751591,250,151.841354
2022.695225,250,153.675367
1350.924571,250,155.677599
1013.346661,250,157.53423
1305.474257,250,160.802843
1394.228321,250,162.756638
996.280067,250,164.607938
520.273261,34,164.861225
2217.46261,250,166.725077
1939.900881,250,170.302273
2040.572673,250,172.571955
2597.301778,250,174.748405
1502.388438,250,176.763137
400.875141,29,177.003017
1086.64953,250,180.36707
877.557591,250,182.247099
1727.159991,250,184.243983
1588.77582,250,186.369519
1369.300207,250,189.747832
1141.846357,250,191.761698
1955.886199,250,193.646359
781.832488,71,194.213525
2595.281894,250,196.080465
1077.684011,250,199.706619
1551.593271,250,201.798524
2883.850977,250,204.056325
2175.304292,250,206.303876
1591.974747,250,210.191555
1516.796057,250,212.474006
2359.115029,250,214.562494
1582.111698,250,216.57823
1413.482513,122,217.475972
1049.656844,250,220.726871
1829.665022,250,222.639723
2418.329774,250,224.570247
373.554691,21,224.785465
2444.760153,250,226.729386
1946.715411,250,230.136444
3107.957818,250,232.068068
890.658962,250,234.345601
1096.113018,104,235.138491
1614.451801,250,238.592099
1870.999512,187,240.256227
463.8079,27,240.55157
863.956838,250,243.01699
2369.414807,250,245.207528
716.409468,46,245.615943
1558.910177,250,249.084031
2502.262541,250,251.048908
1375.136532,250,253.120049
1969.946804,250,255.070387
1820.69583,250,258.66598
1903.395128,250,260.690819
1989.781859,250,262.750452
1795.995504,250,264.662384
2550.393698,210,266.504009
1170.824613,250,270.353596
1064.696885,90,271.193469
747.479121,47,271.623306
1106.432996,250,273.977285
2517.269446,250,276.052851
1731.537208,250,279.45224
2063.122699,250,281.454235
2284.981081,250,283.517193
2191.523005,250,285.547145
1447.185799,250,289.22562
2398.526825,250,291.242417
1267.865019,250,293.29054
2326.322252,209,295.026612
2587.100499,250,297.169481
2210.195053,250,302.513959
332.930923,17,302.784655
316.976435,16,303.000334
1253.025702,250,306.028078
740.118997,250,308.186494
1899.662269,250,310.503156
2536.317642,250,314.000667
2185.65498,250,316.249737
1017.87628,250,318.516101
2496.368603,250,320.686397
1304.60079,250,324.181431
1807.680151,250,326.280132
1799.935509,250,328.343668
130.671703,2,328.3659
1349.43486,131,329.6485
1826.400841,250,333.646964
2315.814015,250,336.490004
1931.085523,250,338.849047
1699.653094,250,340.911867
326.469248,16,341.044779
1582.194546,250,344.660166
2176.058035,250,346.748071
2027.330256,250,349.039335
2585.688803,250,351.073313
2028.502026,250,354.857267
2894.823243,250,356.937553
1242.620608,250,359.142786
1933.717329,250,361.805254
1861.284617,250,366.577342
1315.82219,250,368.844882
2230.916808,250,370.967115
1547.914973,250,373.095938
1586.801922,250,375.243873
243.802586,10,376.762287
172.592084,5,376.817889
2783.228868,250,379.204104
1118.274696,250,381.441126
1936.277276,250,383.63766
1284.574386,250,386.252479
2168.644118,250,389.967967
1089.711676,250,392.588503
2041.048849,250,395.044566
1874.936826,250,397.427597
1328.313511,250,401.037325
2079.375834,250,403.286785
2602.606121,250,405.461262
1770.378896,250,407.740563
1679.056467,250,411.712456
1829.947553,250,413.905761
290.415649,14,414.02458
2221.826992,239,416.208065
2104.663259,195,417.936619
1858.009239,250,422.400093
1355.04234,250,425.214477
2487.123303,250,427.531128
2547.854555,250,429.69099
2041.180958,250,433.357767
2803.978244,250,435.646095
2092.240639,250,438.104968
1156.289797,250,440.51813
2728.434426,250,444.460531
2043.57289,250,446.698849
1070.369017,85,447.520046
1473.548707,250,449.981026
923.833816,250,453.138132
1294.48013,250,457.209659
1231.606237,250,459.466152
1590.550395,158,461.016645
1823.276027,250,463.444832
302.851295,15,463.572347
2859.34634,250,468.810822
2655.99469,250,471.592997
1868.423701,250,473.875246
1629.148954,250,476.099533
2473.22172,250,479.923293
1987.513842,250,482.896103
1136.135602,250,485.430637
1774.795329,250,487.9183
2251.709951,250,490.471024
1215.420945,250,494.244011
1818.426762,250,496.696002
1858.71502,250,499.238921
1201.003842,250,502.611069
1597.332046,250,506.993158
1861.759742,250,509.54449
1273.733509,250,512.325886
1988.807648,250,515.018096
1382.152482,123,517.699252
1256.226425,89,518.528667
794.849624,62,519.128235
1249.764404,99,519.99087
1490.120465,250,522.306458
1186.294848,250,524.668987
1166.495596,250,528.723109
2459.471745,250,531.426556
1580.845656,250,534.530771
1853.255707,250,537.897995
2852.78015,250,542.05637
1802.132636,250,544.921612
1601.94442,161,546.459334
2266.306532,250,549.011368
2383.388241,250,551.420731
1574.948538,250,555.243471
1950.852781,250,557.597465
2295.952288,250,560.1927
942.265168,250,562.666429
1698.04094,250,567.005797
2605.654345,250,569.510498
1926.864142,250,572.442929
1092.929531,250,575.167152
144.331028,3,575.197696
2224.552026,250,578.991526
2176.993734,250,581.443344
1828.708008,154,582.85592
1590.029678,250,585.267375
2456.245027,250,587.65492
456.227294,30,589.640134
1274.806821,250,592.055891
1611.507491,250,594.55706
229.77335,9,594.65048
585.844641,45,595.071973
2112.237905,250,597.474154
1292.132902,250,602.232909
2079.16347,250,605.182892
1597.385516,153,606.694028
725.693574,50,607.222692
505.0857,32,607.508003
1274.725335,250,610.26841
188.795998,6,610.330792
1736.456793,250,614.151668
2532.390285,250,616.684371
1422.109763,250,619.323716
2044.481081,194,621.207315
1980.855476,174,623.057288
231.458746,9,623.143955
1138.465987,250,627.067182
1747.894187,250,629.613839
2911.311593,250,632.576944
297.795316,14,632.776059
