#{"t_start": 1750435713.2216318, "env_id": "None"}
r,l,t
-31.752714,250,624.53373
23.74252,44,624.743544
-42.221424,250,625.873101
-64.62317,250,627.254338
10.58344,75,643.779647
-38.659332,250,644.990669
-132.25557,250,646.271548
-38.160643,250,647.466601
12.246861,63,647.759042
-175.225417,250,649.081755
-61.904692,250,650.245997
-49.83491,250,651.539515
-311.816056,250,652.760289
-97.860062,250,669.885324
22.527288,33,670.034429
4.728406,63,670.496163
20.412726,36,670.716718
13.496594,132,671.400479
-44.918503,250,672.642986
-35.139969,250,673.921601
28.545294,20,674.017198
1.084235,119,678.127935
-63.831858,250,679.364664
23.362749,54,679.62967
-94.971491,250,680.932712
-37.150342,250,682.147841
27.117509,14,682.232118
-59.736415,250,683.508801
28.395271,13,683.563154
23.023919,80,699.778591
-37.034215,250,701.109683
2.101086,98,701.542617
23.398411,25,701.671523
-269.827011,250,703.10691
-275.802823,250,704.357218
11.314489,123,704.971447
27.003813,10,705.046657
12.324326,118,705.728241
-3.560116,98,706.207914
-83.739588,250,707.423265
-30.84341,250,708.667543
4.136731,59,708.932322
19.48588,39,709.11257
-17.221891,163,709.879107
23.12945,49,725.900506
-33.550299,250,727.353741
22.725038,41,727.600083
-283.754034,250,728.774974
20.214276,72,729.166307
25.151425,28,729.286796
-33.322863,250,730.569559
-290.017203,250,731.765166
20.878912,55,732.047793
-16.335499,89,732.58499
-35.429824,250,733.745368
-46.937673,250,735.109355
-36.464112,250,752.086054
21.07139,66,752.425479
7.1865,140,753.095826
-51.704944,250,754.381614
25.541463,27,754.549306
8.060043,111,755.122965
16.104346,70,755.556371
-173.733425,250,757.248401
11.56021,62,760.948469
16.86921,41,761.139328
-47.754709,250,762.475194
0.052927,124,763.059879
-51.639165,250,764.625308
-35.155988,250,766.157102
-41.442427,250,783.162844
19.316371,38,783.330453
29.058597,22,783.431267
-67.409502,250,784.848806
28.460163,24,784.957055
27.095307,11,785.015255
18.110517,56,785.295367
-39.093231,250,786.464571
14.042428,134,787.29768
20.479685,58,787.638671
10.737388,38,787.84008
23.31533,59,788.11399
-30.667249,250,789.424829
-234.454564,250,790.629812
14.077572,70,790.949645
27.998602,14,791.013077
16.756092,137,791.961508
23.063143,45,792.314515
-30.897893,250,811.439151
-42.010252,245,812.862408
1.243892,79,813.251662
4.378418,60,813.546497
20.49287,32,813.672527
-37.566209,250,814.954554
21.147594,47,815.180837
-23.16554,250,816.590898
14.49191,107,817.217414
5.796834,221,818.452591
29.358607,24,818.578003
-174.287924,250,819.781741
-38.811922,250,821.016226
27.466399,20,821.134969
15.427719,105,821.616535
24.247219,43,821.849003
7.66584,126,838.248256
-42.007076,250,839.439373
20.808361,24,839.569804
4.605636,56-38.419914,250,840.097621
18.126395,85.23635,123,84-52.988821,250,841.789928
29.256827,16,841.907099
-27.31703,127,842.539462
-103.409617,250,847.293125
28.313688,29,847.47126
-25.902782,250,848.879964
20.917336,30,849.016126
-333.156463,250,850.349028
8.116491,75,850.69697
23.481032,33,850.857909
-22.281415,250,867.951216
16.653343,35,868.137195
6.814656,91,868.633238
-100.644181,250,869.969297
24.557709,28,870.127333
11.434209,72,870.441004
30.01324-28.704453,250,871.232528
3.976352,188,872.233775
-40.399238,250,873.465753
-103.048673,250,874.882004
-313.951992,250,876.097396
-71.468265,250,877.453002
23.301254,33,877.616989
11.503945,55,877.91873
17.604958,63,878.250467
-61.171878,250,895.543521
-29.599745,250,896.98217
-149.298692,250,898.149837
-28.216037,250,899.422167
-34.967566,250,900.615514
23.583344,41,900.787817
29.251615,26,900.894725
14.112983,78,901.340179
-183.410251,250,902.618096
18.470286,24,902.748427
-25.71167,250,904.029956
-42.172336,250,921.338466
27.149111,12,921.410083
-46.735186,250,922.650524
26.08123,3,922.653529
-174.520737,250,924.010822
15.525524,29,924.154003
27.635,23,924.275403
-89.312272,250,925.482442
-52.023549,250,926.853189
25.516158,42,930.175958
-27.238455,250,931.478026
-39.785111,250,932.705504
22.98144,79,933.094709
-50.399804,197,934.131946
28.19043,22,934.253532
21.588818,30,934.400314
-49.408248,250,951.517757
29.114686,17,951.625675
-189.763826,250,952.932878
26.495845,3,952.963797
19.161042,76,953.403546
-22.962348,250,954.693411
-34.601709,250,956.009081
22.988767,66,956.378193
-122.721796,250,957.663183
-38.292875,250,958.942919
27.441191,7,958.997796
-39.472097,250,960.176762
11.320893,155,977.268913
14.794187,64,977.584318
-24.371796,100,978.102266
-5.977389,63,978.520565
29.029577,34,978.728921
21.341268,68,979.238274
21.61893,21,979.396314
26.316449,35,979.591702
23.026511,45,979.868889
-27.756724,250,981.442142
27.422015,9,981.520167
-39.658845,250,982.832833
7.565775,100,983.420984
-26.232819,250,984.764563
-22.054077,250,986.167506
-104.252412,250,987.483946
-67.118497,250,1006.149339
-83.31456,158,1007.058072
29.042868,27,1007.221571
-73.260224,165,1008.303201
0.290865,77,1008.789124
21.56091,80,1009.278165
26.243058,19,1009.397973
-26.141915,250,1010.650057
-37.693417,97,1011.159029
