episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
1,1646.254107,250,0,0.148790967464447,0,"[ 0.3428892 , 1.2120004 , 1.4295934 ,-0.4614002 ,-0.28905082]","[0.06306121,0.2549961 ,0.567953  ]"
2,1781.393764,250,0,0.148790967464447,0,"[ 0.9640034, 0.6743966,-1.9447258,-1.1161766, 1.8239   ]","[-0.03043473, 0.43636695, 0.59966016]"
3,2480.830861,213,1,0.148790967464447,1,"[-0.27000642, 1.2620003 ,-1.0405892 ,-0.31370592,-0.9325627 ]","[0.05488034,0.53248733,1.0036609 ]"
4,1172.546145,90,1,0.148790967464447,1,"[-0.7541416, 1.5120001, 1.5350695,-1.0164615, 0.9569023]","[0.06363428,0.4761793 ,0.79010403]"
5,2101.543113,250,0,0.148790967464447,0,"[-1.5685258 , 0.7691407 , 0.93226016,-0.5223732 ,-0.65057236]","[0.14326923,0.30677623,1.2185756 ]"
6,1381.471356,250,0,0.148790967464447,0,"[ 2.0857   , 0.9411564, 1.0365033,-0.4981389,-1.5523666]","[0.06340367,0.540124  ,0.9424314 ]"
7,1134.768832,250,0,0.148790967464447,0,"[ 1.7568746 , 0.13987572, 2.0857    ,-1.3614    , 1.6239002 ]","[-0.04428069, 0.4342536 , 0.6215059 ]"
8,1380.667297,250,0,0.148790967464447,0,"[ 1.8768126 , 0.8010094 ,-0.26998603,-0.4891948 ,-1.7739    ]","[0.16832393,0.48649064,0.8264261 ]"
9,2541.244218,250,0,0.148790967464447,0,"[ 1.0623175 , 0.31816608, 0.04690088,-0.05870002, 0.09077756]","[0.0833227,0.2642187,0.6616488]"
10,2122.35867,174,1,0.148790967464447,1,"[ 1.8979325, 1.2620003,-1.5984898,-0.6197328, 1.326728 ]","[-0.01108283, 0.5251602 , 0.8118605 ]"
11,1460.337548,250,0,0.148790967464447,0,"[ 1.39555   , 0.6827727 ,-1.1373787 ,-0.339175  ,-0.19444028]","[-0.09012616, 0.17703286, 0.509972  ]"
12,1010.200115,250,0,0.148790967464447,0,"[ 0.2106611 , 1.562     , 1.9155304 ,-0.22078897,-0.9709243 ]","[-0.361908  , 0.24532947, 0.84547025]"
13,1298.287349,250,0,0.148790967464447,0,"[-0.30554178, 1.4620001 ,-0.70441496,-0.14914921, 0.03957566]","[-0.10084446, 0.27948746, 1.2169338 ]"
14,363.831235,21,1,0.148790967464447,1,"[-1.8968514 , 0.0087    ,-0.97188765,-1.1492159 , 1.4912066 ]","[-0.30708045, 0.07213514, 1.1554482 ]"
15,2578.760399,250,0,0.148790967464447,0,"[ 0.5440924 , 1.5010986 , 0.24537893,-0.8975504 ,-0.36105776]","[0.10941748,0.47180545,0.8951818 ]"
16,1064.672316,250,0,0.148790967464447,0,"[ 0.65203214, 1.0566974 ,-1.6932341 ,-0.85870016,-0.7941517 ]","[0.28931606,0.13555741,0.87172043]"
17,1395.463355,250,0,0.148790967464447,0,"[ 0.14616878, 0.36802956,-0.6667496 ,-1.3114    , 0.38307512]","[0.15465817,0.51141846,0.9884013 ]"
18,1595.585114,250,0,0.148790967464447,0,"[-0.7910632 , 0.19683084, 1.7772413 ,-0.76263493, 1.8239    ]","[-0.06169799, 0.41769677, 0.60047776]"
19,1730.529226,250,0,0.148790967464447,0,"[ 0.7407704 , 0.72283554,-1.3540955 ,-1.2614001 , 0.5302784 ]","[0.03555713,0.41697532,1.1736988 ]"
20,197.940262,7,1,0.148790967464447,1,"[-0.17725728, 0.78756887, 1.1076642 ,-0.42677546, 0.07995084]","[0.232189  ,0.40903065,0.89238703]"
21,1400.609481,250,0,0.148790967464447,0,"[-0.54174036, 1.1268617 ,-0.36662418,-0.73317885, 0.84441894]","[-0.04682134, 0.54232186, 0.80111   ]"
22,1284.049693,250,0,0.148790967464447,0,"[-1.0513889 , 0.72521424,-1.9857001 ,-0.05870001,-0.99167925]","[-0.09036082, 0.12927122, 1.2322431 ]"
23,1991.179691,250,0,0.148790967464447,0,"[ 0.30001283, 1.562     ,-1.50876   ,-0.3837862 , 0.50729185]","[-0.04539997, 0.4462333 , 1.1214157 ]"
24,846.120376,250,0,0.148790967464447,0,"[ 1.6443404 , 0.0087    ,-0.74823964,-0.20870002,-0.27283525]","[0.34686148,0.18282837,0.8491394 ]"
25,2263.979978,250,0,0.148790967464447,0,"[-0.5380661 , 0.66465753,-0.94390595,-0.9871847 ,-0.9013127 ]","[-0.22953138, 0.16706245, 1.2720069 ]"
26,2657.4262,250,0,0.148790967464447,0,"[ 1.6552366 , 0.45323306, 1.813215  ,-1.2627281 ,-0.36526167]","[-0.2553668 , 0.24420652, 0.661731  ]"
27,2000.97406,152,1,0.148790967464447,1,"[-1.2299045, 1.3620002, 0.8017862,-1.2764626,-0.5500512]","[0.14983234,0.3865577 ,1.0300225 ]"
28,1744.552926,250,0,0.148790967464447,0,"[-0.0332201, 0.4912328,-1.1083885,-1.2651451,-1.2869201]","[-0.03294059, 0.46643037, 1.0749143 ]"
29,1548.498605,250,0,0.148790967464447,0,"[-1.128248  , 1.3821144 , 1.2342585 ,-0.9988072 ,-0.15885085]","[-0.06081391, 0.32478514, 1.2267336 ]"
30,1163.784396,129,1,0.148790967464447,1,"[-1.894788  , 0.13016738, 1.5042728 ,-0.74577713,-1.5858208 ]","[-0.01475381, 0.15711637, 1.2722838 ]"
31,741.069394,250,0,0.148790967464447,0,"[-0.57619506, 0.3645068 ,-0.2433336 ,-1.1547298 ,-1.2124729 ]","[-0.19303164, 0.12933213, 0.6289712 ]"
